#ID      EIFS 	      EIPFS 	   FSbin        FSseg
448 -139116.001476 0.000000 -4.017198 -0.904697
4389 -139116.001476 0.000000 -4.017198 -0.904697
470 -139115.921657 0.000000 -3.937380 -0.824879
4334 -139115.921657 0.000000 -3.937380 -0.824879
2440 -139115.827715 0.000000 -3.843437 -0.730936
6359 -139115.827715 0.000000 -3.843437 -0.730936
2421 -139117.204315 0.000000 -5.220037 -2.107536
6338 -139117.204315 0.000000 -5.220037 -2.107536
472 -139117.216869 0.000000 -5.232592 -2.120091
4385 -139117.216869 0.000000 -5.232592 -2.120091
415 -139115.823360 0.000000 -3.839082 -0.726581
4335 -139115.823360 0.000000 -3.839082 -0.726581
2395 -139117.561892 0.000000 -5.577614 -2.465114
6312 -139117.561892 0.000000 -5.577614 -2.465114
418 -139117.326472 0.000000 -5.342194 -2.229693
4367 -139117.326472 0.000000 -5.342194 -2.229693
2423 -139116.950471 0.000000 -4.966193 -1.853692
6337 -139116.950471 0.000000 -4.966193 -1.853692
2443 -139116.956318 0.000000 -4.972040 -1.859539
6340 -139116.956318 0.000000 -4.972040 -1.859539
487 -139116.946171 0.000000 -4.961893 -1.849392
4404 -139116.946171 0.000000 -4.961893 -1.849392
449 -139116.954064 0.000000 -4.969786 -1.857285
4366 -139116.954064 0.000000 -4.969786 -1.857285
611 -139118.321771 0.000000 -6.337494 -3.224993
4405 -139118.321771 0.000000 -6.337494 -3.224993
2471 -139116.484338 0.000000 -4.500060 -1.387559
6512 -139116.484338 0.000000 -4.500060 -1.387559
2584 -139116.955762 0.000000 -4.971484 -1.858983
6378 -139116.955762 0.000000 -4.971484 -1.858983
2577 -139116.462043 0.000000 -4.477765 -1.365264
6370 -139116.462043 0.000000 -4.477765 -1.365264
2450 -139116.957981 0.000000 -4.973703 -1.861202
6490 -139116.957981 0.000000 -4.973703 -1.861202
518 -139116.480792 0.000000 -4.496514 -1.384014
4558 -139116.480792 0.000000 -4.496514 -1.384014
618 -139116.462193 0.000000 -4.477915 -1.365414
4413 -139116.462193 0.000000 -4.477915 -1.365414
627 -139116.955766 0.000000 -4.971488 -1.858987
4422 -139116.955766 0.000000 -4.971488 -1.858987
490 -139116.956701 0.000000 -4.972423 -1.859923
4530 -139116.956701 0.000000 -4.972423 -1.859923
488 -139116.098334 0.000000 -4.114056 -1.001555
4529 -139116.098334 0.000000 -4.114056 -1.001555
2461 -139115.826885 0.000000 -3.842607 -0.730106
6500 -139115.826885 0.000000 -3.842607 -0.730106
517 -139115.828238 0.000000 -3.843960 -0.731460
4559 -139115.828238 0.000000 -3.843960 -0.731460
2573 -139116.236030 0.000000 -4.251752 -1.139252
6368 -139116.236030 0.000000 -4.251752 -1.139252
619 -139116.235564 0.000000 -4.251286 -1.138785
4412 -139116.235564 0.000000 -4.251286 -1.138785
642 -139115.686346 0.000000 -3.702068 -0.589567
4437 -139115.686346 0.000000 -3.702068 -0.589567
2597 -139115.683595 0.000000 -3.699317 -0.586816
6390 -139115.683595 0.000000 -3.699317 -0.586816
2453 -139115.679881 0.000000 -3.695603 -0.583102
6494 -139115.679881 0.000000 -3.695603 -0.583102
496 -139115.679664 0.000000 -3.695386 -0.582885
4536 -139115.679664 0.000000 -3.695386 -0.582885
