#ID      EIFS 	      EIPFS 	   FSbin        FSseg
726 -106803.926138 -0.000110 -4.257933 -2.444349
3710 -106803.925611 -0.000110 -4.257406 -2.443822
658 -106803.924298 -0.000110 -4.256092 -2.442508
725 -106803.926222 -0.000110 -4.258017 -2.444433
3755 -106803.952724 -0.000110 -4.284518 -2.470934
816 -106804.396558 -0.000110 -4.728352 -2.914768
3861 -106804.396859 -0.000110 -4.728653 -2.915070
3756 -106804.814139 -0.000110 -5.145934 -3.332350
762 -106804.399025 -0.000110 -4.730820 -2.917236
3789 -106804.397949 -0.000110 -4.729744 -2.916160
768 -106804.393034 -0.000110 -4.724828 -2.911244
3787 -106804.392410 -0.000110 -4.724204 -2.910620
752 -106805.251900 -0.000110 -5.583694 -3.770110
767 -106805.251919 -0.000110 -5.583713 -3.770129
3811 -106805.251698 -0.000110 -5.583492 -3.769908
3767 -106805.274810 -0.000110 -5.606605 -3.793021
827 -106805.252007 -0.000110 -5.583802 -3.770218
828 -106804.392769 -0.000110 -4.724564 -2.910980
3860 -106804.393125 -0.000110 -4.724919 -2.911335
3757 -106805.167367 -0.000110 -5.499161 -3.685577
3769 -106804.464163 -0.000110 -4.795958 -2.982374
755 -106804.464532 -0.000110 -4.796326 -2.982742
3822 -106804.393186 -0.000110 -4.724981 -2.911397
867 -106804.390522 -0.000110 -4.722316 -2.908732
794 -106804.393150 -0.000110 -4.724945 -2.911361
793 -106805.251936 -0.000110 -5.583730 -3.770146
3758 -106804.709360 -0.000110 -5.041155 -3.227571
3850 -106805.251915 -0.000110 -5.583710 -3.770126
756 -106805.251941 -0.000110 -5.583736 -3.770152
3781 -106805.251593 -0.000110 -5.583387 -3.769803
3768 -106804.393747 -0.000110 -4.725542 -2.911958
757 -106804.393139 -0.000110 -4.724933 -2.911349
857 -106804.393814 -0.000110 -4.725609 -2.912025
3824 -106804.396929 -0.000110 -4.728724 -2.915140
785 -106804.396941 -0.000110 -4.728735 -2.915151
3790 -106803.965937 -0.000110 -4.297731 -2.484148
771 -106803.926483 -0.000110 -4.258278 -2.444694
3760 -106806.023422 -0.000110 -6.355216 -4.541632
3862 -106803.926412 -0.000110 -4.258207 -2.444623
831 -106803.925897 -0.000110 -4.257692 -2.444108
784 -106804.371757 -0.000110 -4.703552 -2.889968
3821 -106804.371880 -0.000110 -4.703675 -2.890091
856 -106804.367494 -0.000110 -4.699288 -2.885704
754 -106804.371797 -0.000110 -4.703592 -2.890008
3766 -106804.372534 -0.000110 -4.704329 -2.890745
791 -106804.398856 -0.000110 -4.730651 -2.917067
3820 -106804.399049 -0.000110 -4.730844 -2.917260
6760 -106804.411514 -0.000110 -4.743308 -2.929725
3770 -106804.381579 -0.000110 -4.713374 -2.899790
753 -106804.399151 -0.000110 -4.730946 -2.917362
830 -106804.397505 -0.000110 -4.729300 -2.915716
770 -106804.399219 -0.000110 -4.731014 -2.917430
3812 -106804.399114 -0.000110 -4.730909 -2.917325
769 -106804.371915 -0.000110 -4.703710 -2.890126
3791 -106804.371908 -0.000110 -4.703703 -2.890119
829 -106804.371197 -0.000110 -4.702991 -2.889407
3863 -106804.371846 -0.000110 -4.703640 -2.890056
3763 -106804.222309 -0.000110 -4.554104 -2.740520
