#ID      EIFS 	      EIPFS 	   FSbin        FSseg
180 -10245.093054 0.000000 -5.820577 -2.705409
325 -10245.144608 0.000000 -5.872131 -2.756963
322 -10245.145120 0.000000 -5.872643 -2.757475
181 -10243.642643 0.000000 -4.370166 -1.254998
179 -10245.263440 0.000000 -5.990963 -2.875794
327 -10245.259458 0.000000 -5.986981 -2.871813
481 -10245.230099 0.000000 -5.957622 -2.842454
329 -10245.260020 0.000000 -5.987543 -2.872375
38 -10244.498036 0.000000 -5.225559 -2.110391
191 -10244.828738 0.000000 -5.556261 -2.441093
184 -10244.830905 0.000000 -5.558428 -2.443260
47 -10245.125883 0.000000 -5.853406 -2.738237
338 -10244.831465 0.000000 -5.558988 -2.443820
472 -10244.851716 0.000000 -5.579239 -2.464071
48 -10244.783837 0.000000 -5.511360 -2.396192
182 -10244.830030 0.000000 -5.557553 -2.442385
337 -10244.868669 0.000000 -5.596192 -2.481024
1056 -10245.713228 0.000000 -6.440751 -3.325582
482 -10244.824419 0.000000 -5.551942 -2.436774
328 -10244.145232 0.000000 -4.872755 -1.757587
42 -10245.187970 0.000000 -5.915493 -2.800325
193 -10245.259616 0.000000 -5.987139 -2.871970
49 -10243.619771 0.000000 -4.347294 -1.232126
473 -10243.718307 0.000000 -4.445830 -1.330662
339 -10243.487590 0.000000 -4.215113 -1.099944
40 -10245.472893 0.000000 -6.200417 -3.085248
485 -10243.400738 0.000000 -4.128261 -1.013093
490 -10245.048986 0.000000 -5.776509 -2.661341
