#ID      EIFS 	      EIPFS 	   FSbin        FSseg
220 -34093.420271 -0.000110 -3.144857 -1.335670
1163 -34093.421053 -0.000110 -3.145639 -1.336453
202 -34093.431079 -0.000110 -3.155665 -1.346479
210 -34093.688275 -0.000110 -3.412860 -1.603674
1157 -34093.687793 -0.000110 -3.412379 -1.603193
193 -34093.485681 -0.000110 -3.210267 -1.401081
235 -34093.682250 -0.000110 -3.406836 -1.597649
1191 -34093.694652 -0.000110 -3.419238 -1.610052
1216 -34094.154322 -0.000110 -3.878908 -2.069721
245 -34094.153797 -0.000110 -3.878383 -2.069197
285 -34097.209573 -0.000110 -6.934159 -5.124972
1234 -34094.154738 -0.000110 -3.879324 -2.070138
266 -34094.168200 -0.000110 -3.892786 -2.083600
1184 -34094.104597 -0.000110 -3.829183 -2.019996
239 -34094.105579 -0.000110 -3.830165 -2.020978
1203 -34094.230455 -0.000110 -3.955041 -2.145854
4085 -34093.703853 -0.000110 -3.428439 -1.619253
280 -34093.750949 -0.000110 -3.475535 -1.666348
5079 -34093.709575 -0.000110 -3.434161 -1.624975
261 -34093.707914 -0.000110 -3.432500 -1.623314
1215 -34094.966368 -0.000110 -4.690954 -2.881767
248 -34094.383596 -0.000110 -4.108182 -2.298996
5048 -34093.474822 -0.000110 -3.199408 -1.390222
1248 -34093.329405 -0.000110 -3.053991 -1.244804
4112 -34094.446303 -0.000110 -4.170889 -2.361702
1229 -34094.404737 -0.000110 -4.129323 -2.320137
4094 -34095.225149 -0.000110 -4.949735 -3.140549
1211 -34093.642373 -0.000110 -3.366959 -1.557772
4087 -34093.640987 -0.000110 -3.365573 -1.556387
3124 -34094.559485 -0.000110 -4.284071 -2.474884
5081 -34093.646087 -0.000110 -3.370673 -1.561487
267 -34093.647391 -0.000110 -3.371977 -1.562790
1198 -34096.508136 -0.000110 -6.232722 -4.423536
1158 -34095.069306 -0.000110 -4.793892 -2.984706
223 -34095.870614 -0.000110 -5.595200 -3.786014
1176 -34095.070616 -0.000110 -4.795202 -2.986016
203 -34095.006450 -0.000110 -4.731036 -2.921849
205 -34095.520149 -0.000110 -5.244735 -3.435549
221 -34095.070695 -0.000110 -4.795280 -2.986094
1164 -34095.870387 -0.000110 -5.594973 -3.785787
240 -34095.865180 -0.000110 -5.589766 -3.780580
1195 -34095.828287 -0.000110 -5.552873 -3.743686
206 -34095.864558 -0.000110 -5.589144 -3.779958
1199 -34095.939175 -0.000110 -5.663761 -3.854574
226 -34096.340555 -0.000110 -6.065141 -4.255955
1179 -34095.661602 -0.000110 -5.386188 -3.577001
224 -34096.398652 -0.000110 -6.123238 -4.314052
1165 -34096.881122 -0.000110 -6.605708 -4.796522
1159 -34096.092778 -0.000110 -5.817364 -4.008178
207 -34096.994177 -0.000110 -6.718763 -4.909576
1177 -34096.143247 -0.000110 -5.867833 -4.058646
225 -34096.149602 -0.000110 -5.874188 -4.065002
5523 -34093.434299 -0.000110 -3.158885 -1.349699
