#ID      EIGB 	      EIPGB 	   GBbin        GBseg
220 -34162.538451 -0.000110 -3.303373 -1.489698
1163 -34162.498184 -0.000110 -3.263105 -1.449431
202 -34162.379378 -0.000110 -3.144299 -1.330625
210 -34162.723345 -0.000110 -3.488267 -1.674592
1157 -34162.720560 -0.000110 -3.485481 -1.671807
193 -34162.713851 -0.000110 -3.478773 -1.665098
235 -34162.706662 -0.000110 -3.471583 -1.657909
1191 -34162.709189 -0.000110 -3.474110 -1.660436
1216 -34162.634811 -0.000110 -3.399732 -1.586058
245 -34162.630614 -0.000110 -3.395535 -1.581861
285 -34162.604210 -0.000110 -3.369131 -1.555456
1234 -34162.609072 -0.000110 -3.373993 -1.560319
266 -34162.618004 -0.000110 -3.382925 -1.569251
1184 -34162.662272 -0.000110 -3.427194 -1.613519
239 -34162.669434 -0.000110 -3.434355 -1.620681
1203 -34162.632569 -0.000110 -3.397490 -1.583816
4085 -34162.630176 -0.000110 -3.395097 -1.581423
280 -34162.595748 -0.000110 -3.360670 -1.546995
5079 -34162.598257 -0.000110 -3.363178 -1.549504
261 -34162.598275 -0.000110 -3.363196 -1.549521
1215 -34162.373315 -0.000110 -3.138236 -1.324562
248 -34162.388802 -0.000110 -3.153723 -1.340049
5048 -34162.211112 -0.000110 -2.976033 -1.162359
1248 -34162.245719 -0.000110 -3.010640 -1.196966
4112 -34162.285043 -0.000110 -3.049964 -1.236289
1229 -34162.387946 -0.000110 -3.152868 -1.339193
4094 -34162.433792 -0.000110 -3.198714 -1.385039
1211 -34162.675217 -0.000110 -3.440138 -1.626463
4087 -34162.670800 -0.000110 -3.435721 -1.622047
3124 -34162.608038 -0.000110 -3.372959 -1.559285
5081 -34162.606768 -0.000110 -3.371689 -1.558015
267 -34162.605275 -0.000110 -3.370197 -1.556522
1198 -34162.283938 -0.000110 -3.048859 -1.235185
1158 -34162.317624 -0.000110 -3.082546 -1.268871
223 -34162.729055 -0.000110 -3.493976 -1.680302
1176 -34162.522381 -0.000110 -3.287302 -1.473628
203 -34162.389598 -0.000110 -3.154519 -1.340845
205 -34162.716630 -0.000110 -3.481551 -1.667877
221 -34162.569161 -0.000110 -3.334083 -1.520408
1164 -34162.729811 -0.000110 -3.494732 -1.681058
240 -34162.725976 -0.000110 -3.490898 -1.677223
1195 -34162.728480 -0.000110 -3.493401 -1.679727
206 -34162.674712 -0.000110 -3.439634 -1.625959
1199 -34162.708685 -0.000110 -3.473606 -1.659932
226 -34162.708451 -0.000110 -3.473373 -1.659698
1179 -34162.708355 -0.000110 -3.473276 -1.659602
224 -34162.716149 -0.000110 -3.481071 -1.667396
1165 -34162.431103 -0.000110 -3.196024 -1.382350
1159 -34162.464205 -0.000110 -3.229126 -1.415452
207 -34162.516999 -0.000110 -3.281920 -1.468246
1177 -34162.681033 -0.000110 -3.445954 -1.632280
225 -34162.730637 -0.000110 -3.495558 -1.681884
5523 -34162.411611 -0.000110 -3.176532 -1.362858
