#ID      EIFS 	      EIPFS 	   FSbin        FSseg
313 -45397.564180 -0.000113 -4.057288 -2.247911
1600 -45398.151099 -0.000113 -4.644207 -2.834830
1601 -45397.912196 -0.000113 -4.405303 -2.595927
319 -45398.886202 -0.000113 -5.379310 -3.569933
1602 -45400.244345 -0.000113 -6.737453 -4.928076
329 -45398.031985 -0.000113 -4.525092 -2.715716
323 -45398.032298 -0.000113 -4.525405 -2.716029
1604 -45397.759012 -0.000113 -4.252119 -2.442743
320 -45398.006736 -0.000113 -4.499844 -2.690468
328 -45398.035690 -0.000113 -4.528797 -2.719421
335 -45398.033552 -0.000113 -4.526660 -2.717284
333 -45398.033480 -0.000113 -4.526588 -2.717211
334 -45398.031022 -0.000113 -4.524130 -2.714753
351 -45398.006888 -0.000113 -4.499995 -2.690619
359 -45398.117706 -0.000113 -4.610814 -2.801437
322 -45398.032515 -0.000113 -4.525622 -2.716246
324 -45398.032665 -0.000113 -4.525772 -2.716396
318 -45398.032773 -0.000113 -4.525880 -2.716504
1633 -45398.032851 -0.000113 -4.525959 -2.716582
1632 -45398.032905 -0.000113 -4.526013 -2.716636
1634 -45398.032939 -0.000113 -4.526047 -2.716670
1625 -45398.032904 -0.000113 -4.526012 -2.716635
1613 -45398.032673 -0.000113 -4.525781 -2.716404
1612 -45398.032391 -0.000113 -4.525498 -2.716122
1614 -45398.033803 -0.000113 -4.526911 -2.717534
1607 -45398.016186 -0.000113 -4.509294 -2.699918
