#ID      EIGB 	      EIPGB 	   GBbin        GBseg
439 -64757.029798 -0.000113 -3.772291 -1.949475
2278 -64757.064352 -0.000113 -3.806845 -1.984029
2279 -64756.824054 -0.000113 -3.566547 -1.743731
455 -64757.281354 -0.000113 -4.023847 -2.201031
2280 -64757.267130 -0.000113 -4.009624 -2.186808
461 -64756.790555 -0.000113 -3.533048 -1.710232
463 -64757.070548 -0.000113 -3.813041 -1.990225
2282 -64757.040347 -0.000113 -3.782840 -1.960024
460 -64756.716764 -0.000113 -3.459257 -1.636442
458 -64756.467943 -0.000113 -3.210436 -1.387621
459 -64756.368522 -0.000113 -3.111015 -1.288199
472 -64756.335687 -0.000113 -3.078181 -1.255365
480 -64756.319292 -0.000113 -3.061786 -1.238970
478 -64756.306999 -0.000113 -3.049492 -1.226676
479 -64756.293853 -0.000113 -3.036346 -1.213530
501 -64756.275900 -0.000113 -3.018393 -1.195577
510 -64756.342013 -0.000113 -3.084506 -1.261690
456 -64756.337936 -0.000113 -3.080429 -1.257613
454 -64756.267149 -0.000113 -3.009643 -1.186827
453 -64756.282610 -0.000113 -3.025104 -1.202288
2341 -64756.292902 -0.000113 -3.035395 -1.212579
2333 -64756.300418 -0.000113 -3.042911 -1.220095
2312 -64756.306947 -0.000113 -3.049440 -1.226624
2311 -64756.313487 -0.000113 -3.055981 -1.233165
2313 -64756.320910 -0.000113 -3.063404 -1.240588
2303 -64756.330758 -0.000113 -3.073251 -1.250435
2291 -64756.346977 -0.000113 -3.089470 -1.266654
2290 -64756.381581 -0.000113 -3.124074 -1.301258
2292 -64756.486467 -0.000113 -3.228960 -1.406144
2285 -64756.757526 -0.000113 -3.500019 -1.677204
