#ID      EIGB 	      EIPGB 	   GBbin        GBseg
176 -63421.635871 0.000000 -3.532551 -0.495087
189 -63421.635871 0.000000 -3.532551 -0.495087
227 -63421.635871 0.000000 -3.532551 -0.495087
1078 -63421.635871 0.000000 -3.532551 -0.495087
1127 -63421.635871 0.000000 -3.532551 -0.495087
1942 -63421.635871 0.000000 -3.532551 -0.495087
2001 -63421.635871 0.000000 -3.532551 -0.495087
2006 -63421.635871 0.000000 -3.532551 -0.495087
2892 -63421.635871 0.000000 -3.532551 -0.495087
2901 -63421.635871 0.000000 -3.532551 -0.495087
192 -63421.716572 0.000000 -3.613253 -0.575788
223 -63421.716572 0.000000 -3.613253 -0.575788
1081 -63421.716572 0.000000 -3.613253 -0.575788
1120 -63421.716572 0.000000 -3.613253 -0.575788
1130 -63421.716572 0.000000 -3.613253 -0.575788
1989 -63421.716572 0.000000 -3.613253 -0.575788
2009 -63421.716572 0.000000 -3.613253 -0.575788
2877 -63421.716572 0.000000 -3.613253 -0.575788
2904 -63421.716572 0.000000 -3.613253 -0.575788
2923 -63421.716572 0.000000 -3.613253 -0.575788
175 -63421.596790 0.000000 -3.493470 -0.456005
7382 -63421.596790 0.000000 -3.493470 -0.456005
226 -63421.596790 0.000000 -3.493470 -0.456005
8279 -63421.596790 0.000000 -3.493470 -0.456005
1126 -63421.596790 0.000000 -3.493470 -0.456005
9148 -63421.596790 0.000000 -3.493470 -0.456005
2000 -63421.596790 0.000000 -3.493470 -0.456005
9170 -63421.596790 0.000000 -3.493470 -0.456005
2891 -63421.596790 0.000000 -3.493470 -0.456005
10082 -63421.596790 0.000000 -3.493470 -0.456005
148 -63421.843201 0.000000 -3.739881 -0.702417
212 -63421.843201 0.000000 -3.739881 -0.702417
1044 -63421.843201 0.000000 -3.739881 -0.702417
1129 -63421.843201 0.000000 -3.739881 -0.702417
1098 -63421.843201 0.000000 -3.739881 -0.702417
2003 -63421.843201 0.000000 -3.739881 -0.702417
1966 -63421.843201 0.000000 -3.739881 -0.702417
2894 -63421.843201 0.000000 -3.739881 -0.702417
2859 -63421.843201 0.000000 -3.739881 -0.702417
2907 -63421.843201 0.000000 -3.739881 -0.702417
147 -63421.807843 0.000000 -3.704523 -0.667059
221 -63421.807843 0.000000 -3.704523 -0.667059
203 -63421.807843 0.000000 -3.704523 -0.667059
1118 -63421.807843 0.000000 -3.704523 -0.667059
1097 -63421.807843 0.000000 -3.704523 -0.667059
1987 -63421.807843 0.000000 -3.704523 -0.667059
1965 -63421.807843 0.000000 -3.704523 -0.667059
2016 -63421.807843 0.000000 -3.704523 -0.667059
2858 -63421.807843 0.000000 -3.704523 -0.667059
2921 -63421.807843 0.000000 -3.704523 -0.667059
224 -63421.956646 0.000000 -3.853327 -0.815862
202 -63421.956646 0.000000 -3.853327 -0.815862
1121 -63421.956646 0.000000 -3.853327 -0.815862
1095 -63421.956646 0.000000 -3.853327 -0.815862
1094 -63421.956646 0.000000 -3.853327 -0.815862
1961 -63421.956646 0.000000 -3.853327 -0.815862
1960 -63421.956646 0.000000 -3.853327 -0.815862
2852 -63421.956646 0.000000 -3.853327 -0.815862
2916 -63421.956646 0.000000 -3.853327 -0.815862
2908 -63421.956646 0.000000 -3.853327 -0.815862
254 -63422.220780 0.000000 -4.117461 -1.079996
244 -63422.220780 0.000000 -4.117461 -1.079996
1239 -63422.220780 0.000000 -4.117461 -1.079996
1161 -63422.220780 0.000000 -4.117461 -1.079996
1136 -63422.220780 0.000000 -4.117461 -1.079996
2066 -63422.220780 0.000000 -4.117461 -1.079996
2025 -63422.220780 0.000000 -4.117461 -1.079996
3029 -63422.220780 0.000000 -4.117461 -1.079996
2937 -63422.220780 0.000000 -4.117461 -1.079996
2931 -63422.220780 0.000000 -4.117461 -1.079996
228 -63422.028256 0.000000 -3.924936 -0.887472
7390 -63422.028256 0.000000 -3.924936 -0.887472
1134 -63422.028256 0.000000 -3.924936 -0.887472
8295 -63422.028256 0.000000 -3.924936 -0.887472
2018 -63422.028256 0.000000 -3.924936 -0.887472
9180 -63422.028256 0.000000 -3.924936 -0.887472
2019 -63422.028256 0.000000 -3.924936 -0.887472
10085 -63422.028256 0.000000 -3.924936 -0.887472
2924 -63422.028256 0.000000 -3.924936 -0.887472
10969 -63422.028256 0.000000 -3.924936 -0.887472
297 -63422.777172 0.000000 -4.673852 -1.636387
7396 -63422.777172 0.000000 -4.673852 -1.636387
239 -63422.777172 0.000000 -4.673852 -1.636387
8307 -63422.777172 0.000000 -4.673852 -1.636387
1152 -63422.777172 0.000000 -4.673852 -1.636387
9206 -63422.777172 0.000000 -4.673852 -1.636387
2053 -63422.777172 0.000000 -4.673852 -1.636387
9181 -63422.777172 0.000000 -4.673852 -1.636387
2972 -63422.777172 0.000000 -4.673852 -1.636387
10087 -63422.777172 0.000000 -4.673852 -1.636387
298 -63422.777172 0.000000 -4.673852 -1.636387
243 -63422.777172 0.000000 -4.673852 -1.636387
240 -63422.777172 0.000000 -4.673852 -1.636387
1160 -63422.777172 0.000000 -4.673852 -1.636387
1153 -63422.777172 0.000000 -4.673852 -1.636387
2065 -63422.777172 0.000000 -4.673852 -1.636387
2054 -63422.777172 0.000000 -4.673852 -1.636387
2022 -63422.777172 0.000000 -4.673852 -1.636387
2973 -63422.777172 0.000000 -4.673852 -1.636387
2930 -63422.777172 0.000000 -4.673852 -1.636387
287 -63422.028256 0.000000 -3.924936 -0.887472
245 -63422.028256 0.000000 -3.924936 -0.887472
1205 -63422.028256 0.000000 -3.924936 -0.887472
1162 -63422.028256 0.000000 -3.924936 -0.887472
1151 -63422.028256 0.000000 -3.924936 -0.887472
2067 -63422.028256 0.000000 -3.924936 -0.887472
2051 -63422.028256 0.000000 -3.924936 -0.887472
2988 -63422.028256 0.000000 -3.924936 -0.887472
2967 -63422.028256 0.000000 -3.924936 -0.887472
2932 -63422.028256 0.000000 -3.924936 -0.887472
3918 -63422.220780 0.000000 -4.117461 -1.079996
255 -63422.220780 0.000000 -4.117461 -1.079996
241 -63422.220780 0.000000 -4.117461 -1.079996
1175 -63422.220780 0.000000 -4.117461 -1.079996
1154 -63422.220780 0.000000 -4.117461 -1.079996
2128 -63422.220780 0.000000 -4.117461 -1.079996
2055 -63422.220780 0.000000 -4.117461 -1.079996
2026 -63422.220780 0.000000 -4.117461 -1.079996
2974 -63422.220780 0.000000 -4.117461 -1.079996
2938 -63422.220780 0.000000 -4.117461 -1.079996
299 -63421.956646 0.000000 -3.853327 -0.815862
233 -63421.956646 0.000000 -3.853327 -0.815862
1217 -63421.956646 0.000000 -3.853327 -0.815862
1141 -63421.956646 0.000000 -3.853327 -0.815862
1155 -63421.956646 0.000000 -3.853327 -0.815862
2036 -63421.956646 0.000000 -3.853327 -0.815862
2056 -63421.956646 0.000000 -3.853327 -0.815862
2952 -63421.956646 0.000000 -3.853327 -0.815862
2975 -63421.956646 0.000000 -3.853327 -0.815862
2926 -63421.956646 0.000000 -3.853327 -0.815862
271 -63421.807843 0.000000 -3.704523 -0.667059
286 -63421.807843 0.000000 -3.704523 -0.667059
232 -63421.807843 0.000000 -3.704523 -0.667059
1204 -63421.807843 0.000000 -3.704523 -0.667059
1140 -63421.807843 0.000000 -3.704523 -0.667059
2106 -63421.807843 0.000000 -3.704523 -0.667059
2035 -63421.807843 0.000000 -3.704523 -0.667059
2050 -63421.807843 0.000000 -3.704523 -0.667059
2951 -63421.807843 0.000000 -3.704523 -0.667059
2966 -63421.807843 0.000000 -3.704523 -0.667059
258 -63421.843201 0.000000 -3.739881 -0.702417
288 -63421.843201 0.000000 -3.739881 -0.702417
1178 -63421.843201 0.000000 -3.739881 -0.702417
1206 -63421.843201 0.000000 -3.739881 -0.702417
1139 -63421.843201 0.000000 -3.739881 -0.702417
2107 -63421.843201 0.000000 -3.739881 -0.702417
2029 -63421.843201 0.000000 -3.739881 -0.702417
3017 -63421.843201 0.000000 -3.739881 -0.702417
2941 -63421.843201 0.000000 -3.739881 -0.702417
2968 -63421.843201 0.000000 -3.739881 -0.702417
330 -63421.596790 0.000000 -3.493470 -0.456005
257 -63421.596790 0.000000 -3.493470 -0.456005
284 -63421.596790 0.000000 -3.493470 -0.456005
1177 -63421.596790 0.000000 -3.493470 -0.456005
1201 -63421.596790 0.000000 -3.493470 -0.456005
2083 -63421.596790 0.000000 -3.493470 -0.456005
2102 -63421.596790 0.000000 -3.493470 -0.456005
2028 -63421.596790 0.000000 -3.493470 -0.456005
3013 -63421.596790 0.000000 -3.493470 -0.456005
2940 -63421.596790 0.000000 -3.493470 -0.456005
272 -63421.716572 0.000000 -3.613253 -0.575788
248 -63421.716572 0.000000 -3.613253 -0.575788
