#ID      EIGB 	      EIPGB 	   GBbin        GBseg
176 -75310.939562 0.000000 -4.175205 -1.060187
2292 -75310.939562 0.000000 -4.175205 -1.060187
196 -75311.311521 0.000000 -4.547164 -1.432146
2313 -75311.311521 0.000000 -4.547164 -1.432146
199 -75310.137453 0.000000 -3.373096 -0.258078
1287 -75310.362113 0.000000 -3.597756 -0.482738
2312 -75310.137453 0.000000 -3.373096 -0.258078
3407 -75310.362113 0.000000 -3.597756 -0.482738
8666 -75311.317661 0.000000 -4.553304 -1.438286
10783 -75311.317661 0.000000 -4.553304 -1.438286
1307 -75310.946920 0.000000 -4.182563 -1.067545
3424 -75310.946920 0.000000 -4.182563 -1.067545
