#ID      EIGB 	      EIPGB 	   GBbin        GBseg
340 -50061.293227 -0.000110 -3.524878 -1.707107
349 -50061.030681 -0.000110 -3.262332 -1.444561
284 -50060.990351 -0.000110 -3.222002 -1.404231
1716 -50060.927333 -0.000110 -3.158984 -1.341213
1739 -50060.864502 -0.000110 -3.096153 -1.278382
347 -50061.299304 -0.000110 -3.530955 -1.713184
3095 -50061.297114 -0.000110 -3.528765 -1.710994
1702 -50061.273298 -0.000110 -3.504949 -1.687178
299 -50061.265371 -0.000110 -3.497022 -1.679251
1725 -50061.300682 -0.000110 -3.532333 -1.714562
322 -50061.272705 -0.000110 -3.504356 -1.686585
1756 -50061.513503 -0.000110 -3.745154 -1.927383
345 -50061.517672 -0.000110 -3.749323 -1.931552
1758 -50061.598137 -0.000110 -3.829788 -2.012017
1748 -50061.432233 -0.000110 -3.663884 -1.846113
1743 -50061.043310 -0.000110 -3.274961 -1.457190
348 -50061.066881 -0.000110 -3.298533 -1.480761
1757 -50061.304422 -0.000110 -3.536073 -1.718302
415 -50061.350741 -0.000110 -3.582393 -1.764621
353 -50061.355394 -0.000110 -3.587046 -1.769274
1761 -50061.032022 -0.000110 -3.263673 -1.445902
364 -50060.808641 -0.000110 -3.040292 -1.222521
1770 -50060.785884 -0.000110 -3.017535 -1.199764
386 -50061.106188 -0.000110 -3.337839 -1.520068
1790 -50061.124294 -0.000110 -3.355945 -1.538174
409 -50061.167724 -0.000110 -3.399375 -1.581604
352 -50061.171762 -0.000110 -3.403413 -1.585642
1762 -50061.151977 -0.000110 -3.383629 -1.565857
355 -50061.158053 -0.000110 -3.389705 -1.571933
1771 -50061.129933 -0.000110 -3.361584 -1.543813
369 -50061.217098 -0.000110 -3.448749 -1.630978
1791 -50061.224703 -0.000110 -3.456355 -1.638583
392 -50061.141128 -0.000110 -3.372779 -1.555008
1813 -50061.139437 -0.000110 -3.371088 -1.553317
394 -50060.766597 -0.000110 -2.998248 -1.180477
1807 -50060.811969 -0.000110 -3.043620 -1.225849
417 -50060.797285 -0.000110 -3.028936 -1.211165
354 -50060.793620 -0.000110 -3.025271 -1.207500
387 -50061.134191 -0.000110 -3.365842 -1.548071
1793 -50061.133745 -0.000110 -3.365396 -1.547625
410 -50061.157116 -0.000110 -3.388767 -1.570996
1815 -50061.154697 -0.000110 -3.386349 -1.568577
341 -50061.459705 -0.000110 -3.691356 -1.873585
1747 -50061.146621 -0.000110 -3.378272 -1.560501
1741 -50061.506354 -0.000110 -3.738005 -1.920234
1759 -50060.827685 -0.000110 -3.059336 -1.241565
342 -50060.902661 -0.000110 -3.134312 -1.316541
343 -50060.928703 -0.000110 -3.160354 -1.342583
300 -50060.987529 -0.000110 -3.219180 -1.401409
3101 -50061.361023 -0.000110 -3.592675 -1.774903
351 -50061.364695 -0.000110 -3.596346 -1.778575
350 -50061.024725 -0.000110 -3.256376 -1.438605
323 -50060.913010 -0.000110 -3.144661 -1.326890
1717 -50060.939473 -0.000110 -3.171124 -1.353353
1740 -50060.971260 -0.000110 -3.202912 -1.385140
1719 -50061.277052 -0.000110 -3.508703 -1.690932
1742 -50061.301438 -0.000110 -3.533089 -1.715318
308 -50061.290814 -0.000110 -3.522465 -1.704694
331 -50061.346552 -0.000110 -3.578203 -1.760432
370 -50061.081673 -0.000110 -3.313324 -1.495553
1789 -50061.068647 -0.000110 -3.300298 -1.482527
393 -50061.157938 -0.000110 -3.389589 -1.571818
1812 -50061.139902 -0.000110 -3.371553 -1.553782
324 -50061.005177 -0.000110 -3.236828 -1.419057
1720 -50060.993581 -0.000110 -3.225233 -1.407461
301 -50061.269589 -0.000110 -3.501240 -1.683469
344 -50061.278831 -0.000110 -3.510483 -1.692711
1760 -50061.176757 -0.000110 -3.408408 -1.590637
356 -50061.115889 -0.000110 -3.347540 -1.529769
1769 -50061.089102 -0.000110 -3.320753 -1.502982
