#ID      EIFS 	      EIPFS 	   FSbin        FSseg
2449 -1152184.576961 0.000000 -5.921591 -2.889156
2748 -1152184.576939 0.000000 -5.921568 -2.889133
2819 -1152183.057722 0.000000 -4.402351 -1.369916
3707 -1152184.576857 0.000000 -5.921486 -2.889051
3794 -1152184.576950 0.000000 -5.921580 -2.889144
3981 -1152184.576961 0.000000 -5.921591 -2.889156
4006 -1152184.576939 0.000000 -5.921568 -2.889133
18749 -1152183.057722 0.000000 -4.402351 -1.369916
19408 -1152184.576857 0.000000 -5.921486 -2.889051
19717 -1152184.576950 0.000000 -5.921580 -2.889145
19809 -1152184.576961 0.000000 -5.921591 -2.889155
20069 -1152184.576939 0.000000 -5.921568 -2.889133
20106 -1152183.057716 0.000000 -4.402345 -1.369910
35302 -1152184.576855 0.000000 -5.921484 -2.889049
35392 -1152184.576941 0.000000 -5.921570 -2.889135
35702 -1152184.576934 0.000000 -5.921563 -2.889128
35794 -1152184.576952 0.000000 -5.921581 -2.889146
36094 -1152184.576937 0.000000 -5.921566 -2.889131
166331 -1152183.057724 0.000000 -4.402353 -1.369918
35169 -1152184.576857 0.000000 -5.921486 -2.889051
51378 -1152184.576950 0.000000 -5.921579 -2.889144
51688 -1152184.576961 0.000000 -5.921591 -2.889156
51780 -1152184.576939 0.000000 -5.921568 -2.889133
182422 -1152183.057722 0.000000 -4.402351 -1.369916
52638 -1152184.576857 0.000000 -5.921486 -2.889051
52742 -1152184.576950 0.000000 -5.921580 -2.889144
2884 -1152184.960891 0.000000 -6.305520 -3.273085
3199 -1152184.960893 0.000000 -6.305522 -3.273087
3287 -1152184.558094 0.000000 -5.902723 -2.870288
3597 -1152184.557817 0.000000 -5.902446 -2.870011
3657 -1152184.557730 0.000000 -5.902359 -2.869924
133044 -1152184.557656 0.000000 -5.902285 -2.869850
18871 -1152184.960893 0.000000 -6.305522 -3.273087
19185 -1152184.558094 0.000000 -5.902723 -2.870288
19273 -1152184.557817 0.000000 -5.902446 -2.870011
19587 -1152184.557730 0.000000 -5.902359 -2.869924
19631 -1152184.557656 0.000000 -5.902285 -2.869850
20267 -1152184.960892 0.000000 -6.305522 -3.273087
20093 -1152184.558093 0.000000 -5.902722 -2.870287
35168 -1152184.557814 0.000000 -5.902443 -2.870008
35256 -1152184.557728 0.000000 -5.902358 -2.869922
35560 -1152184.557708 0.000000 -5.902337 -2.869902
36213 -1152184.960890 0.000000 -6.305519 -3.273084
36418 -1152184.960892 0.000000 -6.305521 -3.273086
36453 -1152184.558093 0.000000 -5.902722 -2.870287
51165 -1152184.557817 0.000000 -5.902446 -2.870011
51232 -1152184.557730 0.000000 -5.902359 -2.869924
52136 -1152184.960891 0.000000 -6.305520 -3.273085
52224 -1152184.960893 0.000000 -6.305522 -3.273087
52501 -1152184.558094 0.000000 -5.902723 -2.870288
52552 -1152184.557817 0.000000 -5.902446 -2.870011
52699 -1152184.557730 0.000000 -5.902359 -2.869924
2615 -1152184.613585 0.000000 -5.958215 -2.925779
2706 -1152184.613652 0.000000 -5.958281 -2.925846
3017 -1152184.613602 0.000000 -5.958231 -2.925796
3098 -1152184.633677 0.000000 -5.978306 -2.945871
3901 -1152184.613542 0.000000 -5.958171 -2.925736
3963 -1152184.613585 0.000000 -5.958215 -2.925779
4047 -1152184.613652 0.000000 -5.958281 -2.925846
18707 -1152184.613602 0.000000 -5.958231 -2.925796
19004 -1152184.633677 0.000000 -5.978306 -2.945871
19675 -1152184.613542 0.000000 -5.958171 -2.925736
19963 -1152184.613585 0.000000 -5.958214 -2.925779
20043 -1152184.613652 0.000000 -5.958281 -2.925846
20215 -1152184.613602 0.000000 -5.958231 -2.925796
34747 -1152184.633678 0.000000 -5.978307 -2.945872
165427 -1152184.633315 0.000000 -5.977944 -2.945509
35660 -1152184.613575 0.000000 -5.958205 -2.925770
35969 -1152184.613583 0.000000 -5.958212 -2.925777
36060 -1152184.613649 0.000000 -5.958278 -2.925843
36306 -1152184.613601 0.000000 -5.958230 -2.925795
36332 -1152184.633677 0.000000 -5.978306 -2.945871
51555 -1152184.613542 0.000000 -5.958171 -2.925736
51646 -1152184.613585 0.000000 -5.958214 -2.925779
51957 -1152184.613652 0.000000 -5.958281 -2.925846
52049 -1152184.613602 0.000000 -5.958231 -2.925796
52339 -1152184.633677 0.000000 -5.978306 -2.945871
52732 -1152184.613542 0.000000 -5.958171 -2.925736
2493 -1152183.250012 0.000000 -4.594642 -1.562206
2538 -1152183.248902 0.000000 -4.593531 -1.561096
3464 -1152183.250289 0.000000 -4.594918 -1.562483
3552 -1152183.250266 0.000000 -4.594895 -1.562460
3827 -1152183.250141 0.000000 -4.594771 -1.562335
3873 -1152183.250012 0.000000 -4.594642 -1.562207
4008 -1152183.248902 0.000000 -4.593531 -1.561096
19139 -1152183.250289 0.000000 -4.594918 -1.562483
19453 -1152183.250266 0.000000 -4.594895 -1.562460
19541 -1152183.250141 0.000000 -4.594771 -1.562335
19850 -1152183.250012 0.000000 -4.594641 -1.562206
19898 -1152183.248902 0.000000 -4.593531 -1.561096
19040 -1152183.250287 0.000000 -4.594916 -1.562481
35122 -1152183.250249 0.000000 -4.594878 -1.562443
35437 -1152183.250092 0.000000 -4.594721 -1.562286
35525 -1152183.250035 0.000000 -4.594664 -1.562229
35839 -1152183.249986 0.000000 -4.594615 -1.562180
166232 -1152183.248900 0.000000 -4.593530 -1.561095
36504 -1152183.250288 0.000000 -4.594917 -1.562482
36326 -1152183.250265 0.000000 -4.594894 -1.562459
51423 -1152183.250141 0.000000 -4.594770 -1.562335
51500 -1152183.250012 0.000000 -4.594642 -1.562207
182221 -1152183.248902 0.000000 -4.593532 -1.561096
52463 -1152183.250289 0.000000 -4.594918 -1.562483
52663 -1152183.250266 0.000000 -4.594895 -1.562460
52693 -1152183.250141 0.000000 -4.594771 -1.562335
2883 -1152183.253774 0.000000 -4.598403 -1.565968
2975 -1152183.255119 0.000000 -4.599749 -1.567313
3286 -1152183.258492 0.000000 -4.603122 -1.570686
3378 -1152183.257159 0.000000 -4.601788 -1.569353
133859 -1152183.256805 0.000000 -4.601434 -1.568999
4046 -1152183.253774 0.000000 -4.598403 -1.565968
18870 -1152183.255119 0.000000 -4.599749 -1.567314
18962 -1152183.258492 0.000000 -4.603122 -1.570687
19272 -1152183.257158 0.000000 -4.601788 -1.569353
19342 -1152183.256805 0.000000 -4.601434 -1.568999
20146 -1152183.253774 0.000000 -4.598403 -1.565968
20201 -1152183.255118 0.000000 -4.599747 -1.567312
20202 -1152183.258486 0.000000 -4.603115 -1.570680
34958 -1152183.257153 0.000000 -4.601783 -1.569348
35255 -1152183.256875 0.000000 -4.601504 -1.569069
35927 -1152183.253271 0.000000 -4.597900 -1.565465
36212 -1152183.253767 0.000000 -4.598397 -1.565961
36284 -1152183.255115 0.000000 -4.599744 -1.567309
36452 -1152183.258491 0.000000 -4.603121 -1.570686
50989 -1152183.257159 0.000000 -4.601788 -1.569353
51825 -1152183.253238 0.000000 -4.597868 -1.565433
51915 -1152183.253774 0.000000 -4.598403 -1.565968
52223 -1152183.255119 0.000000 -4.599749 -1.567313
52309 -1152183.258492 0.000000 -4.603122 -1.570687
