,delta_E_seg_GB_i,Fi,Xi,Pi
26,-2.8358760045211184,1.4409022067987268e-07,1.0,1.4409022067987268e-07
27,-2.8342246913437523,1.4928287896631338e-07,1.0,1.4928287896631338e-07
28,-2.8325733781663853,1.5464373467069885e-07,1.0,1.5464373467069885e-07
29,-2.8309220649890188,1.6017750785916945e-07,1.0,1.6017750785916945e-07
30,-2.8292707518116518,1.6588902495131214e-07,1.0,1.6588902495131214e-07
31,-2.8276194386342857,1.717832202408426e-07,1.0,1.717832202408426e-07
32,-2.825968125456919,1.7786513740929535e-07,1.0,1.7786513740929535e-07
33,-2.824316812279553,1.8413993103155472e-07,1.0,1.8413993103155472e-07
34,-2.8226654991021856,1.9061286807202656e-07,1.0,1.9061286807202656e-07
35,-2.821014185924819,1.9728932937021546e-07,1.0,1.9728932937021546e-07
36,-2.8193628727474525,2.041748111144737e-07,1.0,2.041748111144737e-07
37,-2.817711559570087,2.1127492630260171e-07,1.0,2.1127492630260171e-07
38,-2.81606024639272,2.1859540618801031e-07,1.0,2.1859540618801031e-07
39,-2.814408933215353,2.2614210171009102e-07,1.0,2.2614210171009102e-07
40,-2.8127576200379862,2.3392098490742022e-07,1.0,2.3392098490742022e-07
41,-2.81110630686062,2.4193815031240377e-07,1.0,2.4193815031240377e-07
42,-2.809454993683253,2.50199816325925e-07,1.0,2.50199816325925e-07
43,-2.8078036805058857,2.587123265705521e-07,1.0,2.587123265705521e-07
44,-2.80615236732852,2.6748215122080214e-07,1.0,2.6748215122080214e-07
45,-2.8045010541511535,2.7651588830899434e-07,1.0,2.7651588830899434e-07
46,-2.8028497409737865,2.8582026500510704e-07,1.0,2.8582026500510704e-07
47,-2.80119842779642,2.954021388691206e-07,1.0,2.954021388691206e-07
48,-2.7995471146190534,3.052684990742437e-07,1.0,3.052684990742437e-07
49,-2.797895801441687,3.154264675994225e-07,1.0,3.154264675994225e-07
50,-2.7962444882643203,3.2588330038950075e-07,1.0,3.2588330038950075e-07
51,-2.7945931750869537,3.3664638848138017e-07,1.0,3.3664638848138017e-07
52,-2.7929418619095867,3.477232590945066e-07,1.0,3.477232590945066e-07
53,-2.79129054873222,3.5912157668399097e-07,1.0,3.5912157668399097e-07
54,-2.7896392355548536,3.708491439546327e-07,1.0,3.708491439546327e-07
55,-2.7879879223774866,3.8291390283415937e-07,1.0,3.8291390283415937e-07
56,-2.7863366092001205,3.9532393540387024e-07,1.0,3.9532393540387024e-07
57,-2.7846852960227535,4.0808746478495984e-07,1.0,4.0808746478495984e-07
58,-2.7830339828453874,4.212128559787247e-07,1.0,4.212128559787247e-07
59,-2.7813826696680213,4.3470861665885136e-07,1.0,4.3470861665885136e-07
60,-2.7797313564906543,4.4858339791398105e-07,1.0,4.4858339791398105e-07
61,-2.778080043313288,4.6284599493872116e-07,1.0,4.6284599493872116e-07
62,-2.7764287301359207,4.775053476712741e-07,1.0,4.775053476712741e-07
63,-2.774777416958554,4.925705413758135e-07,1.0,4.925705413758135e-07
64,-2.773126103781188,5.080508071678168e-07,1.0,5.080508071678168e-07
65,-2.7714747906038206,5.239555224804069e-07,1.0,5.239555224804069e-07
66,-2.7698234774264545,5.402942114699014e-07,1.0,5.402942114699014e-07
67,-2.768172164249088,5.57076545358669e-07,1.0,5.57076545358669e-07
68,-2.7665208510717214,5.743123427134279e-07,1.0,5.743123427134279e-07
69,-2.764869537894355,5.920115696571021e-07,1.0,5.920115696571021e-07
70,-2.7632182247169883,6.101843400123667e-07,1.0,6.101843400123667e-07
71,-2.7615669115396217,6.288409153750075e-07,1.0,6.288409153750075e-07
72,-2.7599155983622548,6.479917051152187e-07,1.0,6.479917051152187e-07
73,-2.758264285184888,6.676472663049557e-07,1.0,6.676472663049557e-07
74,-2.7566129720075216,6.878183035695525e-07,1.0,6.878183035695525e-07
75,-2.7549616588301546,7.085156688616503e-07,1.0,7.085156688616503e-07
76,-2.7533103456527885,7.297503611556724e-07,1.0,7.297503611556724e-07
77,-2.751659032475422,7.515335260609919e-07,1.0,7.515335260609919e-07
78,-2.7500077192980554,7.738764553519736e-07,1.0,7.738764553519736e-07
79,-2.748356406120689,7.967905864130963e-07,1.0,7.967905864130963e-07
80,-2.7467050929433223,8.202875015973709e-07,1.0,8.202875015973709e-07
81,-2.7450537797659558,8.443789274963011e-07,1.0,8.443789274963011e-07
82,-2.7434024665885888,8.690767341196026e-07,1.0,8.690767341196026e-07
83,-2.7417511534112213,8.943929339830652e-07,1.0,8.943929339830652e-07
84,-2.740099840233856,9.203396811027348e-07,1.0,9.203396811027348e-07
85,-2.738448527056489,9.469292698938431e-07,1.0,9.469292698938431e-07
86,-2.7367972138791226,9.74174133972823e-07,1.0,9.74174133972823e-07
87,-2.735145900701756,1.0020868448607996e-06,1.0,1.0020868448607996e-06
88,-2.733494587524389,1.0306801105869964e-06,1.0,1.0306801105869964e-06
89,-2.731843274347023,1.0599667741905189e-06,1.0,1.0599667741905189e-06
90,-2.7301919611696563,1.0899598121190262e-06,1.0,1.0899598121190262e-06
91,-2.7285406479922893,1.1206723325228302e-06,1.0,1.1206723325228302e-06
