Tilt,Normal,DE_hat_b,PR_hat_GB,E_hat_b
100,1010,0.18497535000000004,0.004999999999999999,0.08973409864997026
100,1030,0.0828408657894737,0.0013157894736842105,0.04119030786405208
100,1070,0.14103950462962964,0.0023148148148148156,0.05384475183086909
100,1090,0.23199144444444444,0.013888888888888888,0.13926685802976455
100,1110,0.12019470000000002,0.01,0.13173149746074106
100,11100,0.1438904479166667,0.010416666666666666,0.11841403969225932
100,1120,0.13290562890625,0.001953125,0.06615007676684506
100,1130,0.06636303024574669,0.0018903591682419665,0.06833622389530697
100,1150,0.060774805555555554,0.0013227513227513227,0.0655606109307172
100,1160,0.05895698216735253,0.0006858710562414265,0.03313521028336738
100,1180,0.0851260339506173,0.0015432098765432098,0.042270702515818694
100,1190,0.07577998958333333,0.010416666666666666,0.06860140379144676
100,1210,0.10835165999999999,0.004999999999999999,0.05511490532579435
100,12110,0.23204602777777783,0.013888888888888888,0.1405521090782634
100,1250,0.04506828222222222,0.0005555555555555557,0.024040818537020756
100,1270,0.05084371462544589,0.0005945303210463732,0.027130675962291288
100,13100,0.07661141919191918,0.0025252525252525255,0.029423019293609003
100,13110,0.045248666666666666,0.010416666666666666,0.03996483807963033
100,13120,0.2987528888888889,0.013888888888888888,0.16482648324986318
100,1320,0.04547476900584795,0.0014619883040935672,0.02137749997710213
100,1340,0.05567048769230769,0.0007692307692307692,0.02692629829485785
100,1350,0.09005823214285714,0.001984126984126984,0.06513823632272735
100,1370,0.05781264616935484,0.0010080645161290324,0.060410469629473156
100,1380,0.05848451555555556,0.0005555555555555556,0.02941935666774459
100,1410,0.10750264000000001,0.004999999999999999,0.054656012625253755
100,14130,0.40921704166666667,0.020833333333333332,0.15656986463819117
100,1490,0.052646630000000014,0.0005555555555555556,0.02812808930651155
100,1510,0.12932286,0.01,0.14945780018114055
100,15130,0.014626739583333334,0.010416666666666666,0.029211209724508604
100,15140,0.372983625,0.02083333333333334,0.15038518999472447
100,1520,0.0791160625,0.00125,0.039358872711618545
100,1540,0.049550797530864193,0.0006172839506172839,0.023090686825057976
100,1570,0.044464347645429364,0.0006925207756232687,0.04886550916011484
100,1580,0.05211891015339665,0.00036523009495982475,0.02841002107733228
100,16130,0.041150712962962965,0.0023148148148148147,0.01990992940222991
100,1630,0.0546220675,0.0008333333333333336,0.027722859626259266
100,1650,0.06621345366379311,0.0005387931034482759,0.0336736137750781
100,1670,0.039725136823319455,0.0002974419988102321,0.021499692297945495
100,1690,0.047712312952005266,0.00032873109796186726,0.024859648554677455
100,1710,0.13820515454545454,0.009090909090909092,0.14396417716096652
100,17100,0.03160325853658536,0.0003048780487804878,0.016468223803531985
100,17140,0.03331964351851852,0.0023148148148148147,0.017395392376606412
100,17160,0.2778817222222222,0.013888888888888888,0.15737183504618654
100,1720,0.06530729249999999,0.0012499999999999998,0.03636453052349284
100,1730,0.04335654046639231,0.0013717421124828531,0.04457130058372889
100,1750,0.03745398571428571,0.0007936507936507939,0.036290848588448506
100,1760,0.08333472919254659,0.0006211180124223602,0.030509078162963017
100,1770,0.03246258943089431,0.0005807200929152149,0.03452171379890744
100,1780,0.04661252534287418,0.00029815146094215855,0.023358310722212408
100,1790,0.046647602787456444,0.0005807200929152149,0.05001301517359281
100,1810,0.09021210984848486,0.0037878787878787876,0.04980550033987773
100,18110,0.040044579931972794,0.0002834467120181406,0.020951704343618902
100,18130,0.021561151111111107,0.0005555555555555556,0.011352164217944204
100,18170,0.22463138888888887,0.013888888888888888,0.14055441594351137
100,1850,0.041415129901960786,0.00040849673202614375,0.020205315611419188
100,1870,0.08459039933523267,0.00047483380816714147,0.03143114091076816
100,1910,0.13278327272727272,0.009090909090909092,0.12905183740208737
100,19100,0.04301473238770686,0.0002364066193853428,0.022693499210395988
100,19110,0.03826113888888889,0.0005050505050505052,0.03937755759774179
100,19120,0.03111842508710802,0.00029036004645760743,0.01607506875008903
100,19140,0.021190035555555556,0.0005555555555555554,0.01149496946716458
100,19150,0.018416318840579714,0.0018115942028985507,0.018479975035945596
100,19180,0.41522558333333337,0.020833333333333332,0.15711332969827155
100,1920,0.07712789499999999,0.00125,0.038402806692327464
100,1930,0.03077141123882503,0.0012771392081736908,0.027500949231739003
100,1940,0.0386102471590909,0.0004734848484848485,0.018618210857269883
100,1950,0.04160081572481573,0.000819000819000819,0.0379071553745632
100,1960,0.04392835014619883,0.00036549707602339174,0.022116098629274612
100,1980,0.032655736819727894,0.00021258503401360543,0.017169704941292368
100,1990,0.03751871961805555,0.00043402777777777775,0.04019457030821539
100,2010,0.13233977272727274,0.004545454545454546,0.0643561849749513
100,20110,0.03901373643074251,0.00021710811984368216,0.020336557037208398
100,20130,0.03590957823129252,0.0002834467120181407,0.019037855976653178
