#ID      EIFS 	      EIPFS 	   FSbin        FSseg
619 -35169.304248 -0.000110 -4.314793 -2.497088
110 -35171.361344 -0.000110 -6.371890 -4.554185
602 -35169.303884 -0.000110 -4.314430 -2.496725
1115 -35169.303899 -0.000110 -4.314444 -2.496740
1609 -35169.302739 -0.000110 -4.313285 -2.495580
1127 -35169.736780 -0.000110 -4.747326 -2.929621
128 -35169.733346 -0.000110 -4.743891 -2.926186
1117 -35169.732517 -0.000110 -4.743062 -2.925358
635 -35169.732740 -0.000110 -4.743285 -2.925580
1614 -35169.713776 -0.000110 -4.724322 -2.906617
1118 -35170.589436 -0.000110 -5.599981 -3.782277
1620 -35170.589002 -0.000110 -5.599547 -3.781842
634 -35170.589586 -0.000110 -5.600132 -3.782427
137 -35170.220150 -0.000110 -5.230696 -3.412991
624 -35170.589641 -0.000110 -5.600187 -3.782482
133 -35169.728740 -0.000110 -4.739285 -2.921581
1128 -35169.730804 -0.000110 -4.741350 -2.923645
633 -35169.802153 -0.000110 -4.812699 -2.994994
1615 -35169.803802 -0.000110 -4.814348 -2.996643
1120 -35169.802145 -0.000110 -4.812690 -2.994985
151 -35170.928034 -0.000110 -5.938580 -4.120875
626 -35169.802274 -0.000110 -4.812820 -2.995115
1625 -35169.801839 -0.000110 -4.812385 -2.994680
129 -35169.802125 -0.000110 -4.812671 -2.994966
1124 -35169.802163 -0.000110 -4.812708 -2.995004
127 -35170.589407 -0.000110 -5.599953 -3.782248
1129 -35170.589477 -0.000110 -5.600022 -3.782318
1626 -35170.589035 -0.000110 -5.599580 -3.781876
630 -35170.589638 -0.000110 -5.600183 -3.782479
1616 -35170.992932 -0.000110 -6.003478 -4.185773
1627 -35169.731303 -0.000110 -4.741848 -2.924143
1122 -35169.732634 -0.000110 -4.743180 -2.925475
648 -35169.732450 -0.000110 -4.742996 -2.925291
140 -35170.150958 -0.000110 -5.161504 -3.343799
625 -35169.730743 -0.000110 -4.741289 -2.923584
1618 -35169.414557 -0.000110 -4.425102 -2.607397
636 -35169.304151 -0.000110 -4.314697 -2.496992
1644 -35169.303211 -0.000110 -4.313757 -2.496052
134 -35169.303730 -0.000110 -4.314276 -2.496571
1131 -35169.303983 -0.000110 -4.314529 -2.496824
126 -35169.708374 -0.000110 -4.718919 -2.901215
1119 -35169.709536 -0.000110 -4.720082 -2.902377
623 -35169.709153 -0.000110 -4.719698 -2.901994
1624 -35169.709205 -0.000110 -4.719750 -2.902045
2109 -35169.559140 -0.000110 -4.569685 -2.751981
139 -35169.762151 -0.000110 -4.772696 -2.954991
627 -35169.736733 -0.000110 -4.747279 -2.929574
1621 -35169.708010 -0.000110 -4.718556 -2.900851
637 -35169.709024 -0.000110 -4.719570 -2.901865
1121 -35169.709200 -0.000110 -4.719745 -2.902040
141 -35169.705820 -0.000110 -4.716366 -2.898661
1142 -35169.709501 -0.000110 -4.720046 -2.902342
