#ID      EIGB 	      EIPGB 	   GBbin        GBseg
326 -74635.294076 0.000000 -3.247643 -0.214364
379 -74635.294076 0.000000 -3.247643 -0.214364
281 -74635.294076 0.000000 -3.247643 -0.214364
345 -74635.294076 0.000000 -3.247643 -0.214364
1337 -74635.294076 0.000000 -3.247643 -0.214364
1389 -74635.294076 0.000000 -3.247643 -0.214364
1418 -74635.294076 0.000000 -3.247643 -0.214364
1348 -74635.294076 0.000000 -3.247643 -0.214364
1381 -74635.294076 0.000000 -3.247643 -0.214364
2401 -74635.294076 0.000000 -3.247643 -0.214364
2429 -74635.294076 0.000000 -3.247643 -0.214364
2490 -74635.294076 0.000000 -3.247643 -0.214364
2391 -74635.294076 0.000000 -3.247643 -0.214364
3539 -74635.294076 0.000000 -3.247643 -0.214364
3439 -74635.294076 0.000000 -3.247643 -0.214364
3497 -74635.294076 0.000000 -3.247643 -0.214364
11862 -74635.294076 0.000000 -3.247643 -0.214364
267 -74635.652360 0.000000 -3.605926 -0.572648
8702 -74635.652360 0.000000 -3.605926 -0.572648
268 -74635.652360 0.000000 -3.605926 -0.572648
1319 -74635.652360 0.000000 -3.605926 -0.572648
1321 -74635.652360 0.000000 -3.605926 -0.572648
1320 -74635.652360 0.000000 -3.605926 -0.572648
1322 -74635.652360 0.000000 -3.605926 -0.572648
2375 -74635.652360 0.000000 -3.605926 -0.572648
2373 -74635.652360 0.000000 -3.605926 -0.572648
2376 -74635.652360 0.000000 -3.605926 -0.572648
2374 -74635.652360 0.000000 -3.605926 -0.572648
2377 -74635.652360 0.000000 -3.605926 -0.572648
3427 -74635.652360 0.000000 -3.605926 -0.572648
3426 -74635.652360 0.000000 -3.605926 -0.572648
3429 -74635.652360 0.000000 -3.605926 -0.572648
3428 -74635.652360 0.000000 -3.605926 -0.572648
4485 -74635.652360 0.000000 -3.605926 -0.572648
390 -74635.583425 0.000000 -3.536992 -0.503713
327 -74635.583425 0.000000 -3.536992 -0.503713
351 -74635.583425 0.000000 -3.536992 -0.503713
282 -74635.583425 0.000000 -3.536992 -0.503713
1403 -74635.583425 0.000000 -3.536992 -0.503713
9770 -74635.583425 0.000000 -3.536992 -0.503713
1356 -74635.583425 0.000000 -3.536992 -0.503713
1419 -74635.583425 0.000000 -3.536992 -0.503713
2413 -74635.583425 0.000000 -3.536992 -0.503713
2475 -74635.583425 0.000000 -3.536992 -0.503713
2382 -74635.583425 0.000000 -3.536992 -0.503713
2430 -74635.583425 0.000000 -3.536992 -0.503713
2459 -74635.583425 0.000000 -3.536992 -0.503713
3484 -74635.583425 0.000000 -3.536992 -0.503713
3507 -74635.583425 0.000000 -3.536992 -0.503713
3440 -74635.583425 0.000000 -3.536992 -0.503713
3468 -74635.583425 0.000000 -3.536992 -0.503713
324 -74635.530469 0.000000 -3.484036 -0.450757
352 -74635.530469 0.000000 -3.484036 -0.450757
279 -74635.530469 0.000000 -3.484036 -0.450757
313 -74635.530469 0.000000 -3.484036 -0.450757
1449 -74635.530469 0.000000 -3.484036 -0.450757
1357 -74635.530469 0.000000 -3.484036 -0.450757
1416 -74635.530469 0.000000 -3.484036 -0.450757
1325 -74635.530469 0.000000 -3.484036 -0.450757
2473 -74635.530469 0.000000 -3.484036 -0.450757
2383 -74635.530469 0.000000 -3.484036 -0.450757
2427 -74635.530469 0.000000 -3.484036 -0.450757
2460 -74635.530469 0.000000 -3.484036 -0.450757
3482 -74635.530469 0.000000 -3.484036 -0.450757
3508 -74635.530469 0.000000 -3.484036 -0.450757
3437 -74635.530469 0.000000 -3.484036 -0.450757
3469 -74635.530469 0.000000 -3.484036 -0.450757
3530 -74635.530469 0.000000 -3.484036 -0.450757
362 -74635.602097 0.000000 -3.555664 -0.522385
287 -74635.602097 0.000000 -3.555664 -0.522385
316 -74635.602097 0.000000 -3.555664 -0.522385
376 -74635.602097 0.000000 -3.555664 -0.522385
278 -74635.602097 0.000000 -3.555664 -0.522385
1426 -74635.602097 0.000000 -3.555664 -0.522385
1328 -74635.602097 0.000000 -3.555664 -0.522385
1382 -74635.602097 0.000000 -3.555664 -0.522385
1415 -74635.602097 0.000000 -3.555664 -0.522385
2437 -74635.602097 0.000000 -3.555664 -0.522385
2464 -74635.602097 0.000000 -3.555664 -0.522385
2392 -74635.602097 0.000000 -3.555664 -0.522385
2426 -74635.602097 0.000000 -3.555664 -0.522385
3448 -74635.602097 0.000000 -3.555664 -0.522385
3473 -74635.602097 0.000000 -3.555664 -0.522385
3531 -74635.602097 0.000000 -3.555664 -0.522385
3435 -74635.602097 0.000000 -3.555664 -0.522385
300 -74636.360832 0.000000 -4.314399 -1.281120
325 -74636.360832 0.000000 -4.314399 -1.281120
380 -74636.360832 0.000000 -4.314399 -1.281120
280 -74636.360832 0.000000 -4.314399 -1.281120
346 -74636.360832 0.000000 -4.314399 -1.281120
1336 -74636.360832 0.000000 -4.314399 -1.281120
1390 -74636.360832 0.000000 -4.314399 -1.281120
1417 -74636.360832 0.000000 -4.314399 -1.281120
1349 -74636.360832 0.000000 -4.314399 -1.281120
2474 -74636.360832 0.000000 -4.314399 -1.281120
2402 -74636.360832 0.000000 -4.314399 -1.281120
2428 -74636.360832 0.000000 -4.314399 -1.281120
10810 -74636.360832 0.000000 -4.314399 -1.281120
3483 -74636.360832 0.000000 -4.314399 -1.281120
3540 -74636.360832 0.000000 -4.314399 -1.281120
3438 -74636.360832 0.000000 -4.314399 -1.281120
3498 -74636.360832 0.000000 -4.314399 -1.281120
336 -74635.549837 0.000000 -3.503403 -0.470125
389 -74635.310026 0.000000 -3.263593 -0.230314
302 -74635.217811 0.000000 -3.171377 -0.138099
360 -74635.952744 0.000000 -3.906311 -0.873032
391 -74635.549837 0.000000 -3.503403 -0.470125
292 -74635.310026 0.000000 -3.263593 -0.230314
363 -74635.217811 0.000000 -3.171377 -0.138099
382 -74635.952744 0.000000 -3.906311 -0.873032
291 -74635.549837 0.000000 -3.503403 -0.470125
350 -74635.310026 0.000000 -3.263593 -0.230314
275 -74635.217811 0.000000 -3.171377 -0.138099
314 -74635.952744 0.000000 -3.906311 -0.873032
