#ID      GBseg        FSseg        EmPot
23 -0.604639 -3.850548 3.245909
22 -1.118199 -3.825381 2.707182
124 -0.623552 -2.699386 2.075834
25 -1.214527 -3.850631 2.636104
29 -1.118199 -2.528052 1.409853
26 -0.605951 -2.726243 2.120292
134 -0.814500 -1.644460 0.829959
