#ID      EIGB 	      EIPGB 	   GBbin        GBseg
179 -51426.769923 0.000000 -4.127553 -1.012175
7408 -51426.769923 0.000000 -4.127553 -1.012175
1627 -51427.168707 0.000000 -4.526338 -1.410959
8854 -51427.168707 0.000000 -4.526338 -1.410959
5964 -51426.231412 0.000000 -3.589043 -0.473664
6677 -51426.014514 0.000000 -3.372144 -0.256766
1626 -51426.231412 0.000000 -3.589043 -0.473664
2339 -51426.014514 0.000000 -3.372144 -0.256766
1625 -51427.204566 0.000000 -4.562197 -1.446818
3074 -51427.204566 0.000000 -4.562197 -1.446818
183 -51426.813130 0.000000 -4.170760 -1.055382
1629 -51426.813130 0.000000 -4.170760 -1.055382
