#ID      EIFS 	      EIPFS 	   FSbin        FSseg
960 -20910.580535 0.000000 -4.948359 -1.835105
348 -20910.639825 0.000000 -5.007649 -1.894395
69 -20910.784597 0.000000 -5.152421 -2.039167
961 -20910.783339 0.000000 -5.151163 -2.037909
365 -20911.126419 0.000000 -5.494243 -2.380988
74 -20911.475358 0.000000 -5.843182 -2.729928
646 -20911.475978 0.000000 -5.843802 -2.730548
364 -20911.733020 0.000000 -6.100844 -2.987590
943 -20910.546746 0.000000 -4.914570 -1.801315
958 -20911.514411 0.000000 -5.882235 -2.768980
67 -20911.469211 0.000000 -5.837035 -2.723781
350 -20911.489297 0.000000 -5.857121 -2.743867
662 -20911.376934 0.000000 -5.744758 -2.631504
367 -20910.957175 0.000000 -5.324999 -2.211745
372 -20910.985910 0.000000 -5.353734 -2.240480
690 -20910.941620 0.000000 -5.309444 -2.196190
75 -20910.094814 0.000000 -4.462638 -1.349384
76 -20911.608088 0.000000 -5.975912 -2.862658
396 -20910.253970 0.000000 -4.621794 -1.508540
962 -20911.581219 0.000000 -5.949043 -2.835789
102 -20909.641985 0.000000 -4.009809 -0.896555
667 -20909.797907 0.000000 -4.165731 -1.052477
986 -20909.016708 0.000000 -3.384532 -0.271278
371 -20909.601486 0.000000 -3.969310 -0.856056
691 -20910.298345 0.000000 -4.666169 -1.552915
390 -20909.917024 0.000000 -4.284848 -1.171594
672 -20910.098761 0.000000 -4.466585 -1.353331
