#ID      EIFS 	      EIPFS 	   FSbin        FSseg
4094 -28406.388860 -0.000110 -3.037828 -1.231988
86 -28406.382830 -0.000110 -3.031797 -1.225957
881 -28406.052295 -0.000110 -2.701263 -0.895423
3294 -28406.371400 -0.000110 -3.020367 -1.214527
3296 -28406.371409 -0.000110 -3.020377 -1.214537
889 -28406.131738 -0.000110 -2.780705 -0.974865
1272 -28406.400547 -0.000110 -3.049515 -1.243675
3686 -28406.402780 -0.000110 -3.051748 -1.245907
471 -28406.817955 -0.000110 -3.466922 -1.661082
4470 -28406.842102 -0.000110 -3.491069 -1.685229
74 -28406.818198 -0.000110 -3.467165 -1.661325
492 -28406.742353 -0.000110 -3.391321 -1.585480
3282 -28406.403520 -0.000110 -3.052487 -1.246647
502 -28406.372180 -0.000110 -3.021148 -1.215308
1294 -28406.371485 -0.000110 -3.020452 -1.214612
493 -28406.371563 -0.000110 -3.020530 -1.214690
4495 -28406.371611 -0.000110 -3.020578 -1.214738
873 -28406.817401 -0.000110 -3.466368 -1.660528
79 -28406.745239 -0.000110 -3.394207 -1.588366
89 -28406.744575 -0.000110 -3.393542 -1.587702
4097 -28407.299735 -0.000110 -3.948703 -2.142862
481 -28409.033444 -0.000110 -5.682412 -3.876571
4488 -28409.012406 -0.000110 -5.661373 -3.855533
872 -28408.523069 -0.000110 -5.172037 -3.366197
73 -28408.429251 -0.000110 -5.078218 -3.272378
3689 -28408.908989 -0.000110 -5.557957 -3.752117
1273 -28408.950928 -0.000110 -5.599896 -3.794055
3297 -28408.269172 -0.000110 -4.918139 -3.112299
882 -28408.904215 -0.000110 -5.553183 -3.747342
874 -28408.904528 -0.000110 -5.553496 -3.747656
72 -28408.908747 -0.000110 -5.557715 -3.751875
3691 -28408.270795 -0.000110 -4.919762 -3.113922
1283 -28408.269942 -0.000110 -4.918910 -3.113069
484 -28408.269513 -0.000110 -4.918480 -3.112640
4491 -28408.271217 -0.000110 -4.920185 -3.114345
80 -28409.032737 -0.000110 -5.681705 -3.875864
4082 -28407.514713 -0.000110 -4.163681 -2.357840
4493 -28406.743848 -0.000110 -3.392816 -1.586976
3694 -28406.744089 -0.000110 -3.393056 -1.587216
1286 -28406.744672 -0.000110 -3.393639 -1.587799
