#ID      EIGB 	      EIPGB 	   GBbin        GBseg
574 -81946.162279 -0.000109 -3.508882 -1.690601
2836 -81946.165893 -0.000109 -3.512495 -1.694214
562 -81946.156750 -0.000109 -3.503352 -1.685071
503 -81946.133002 -0.000109 -3.479604 -1.661323
2876 -81946.162881 -0.000109 -3.509483 -1.691202
2904 -81946.354734 -0.000109 -3.701337 -1.883056
2944 -81946.348964 -0.000109 -3.695567 -1.877286
584 -81946.349138 -0.000109 -3.695741 -1.877460
634 -81946.350899 -0.000109 -3.697502 -1.879221
2880 -81946.339604 -0.000109 -3.686207 -1.867926
2886 -81946.576745 -0.000109 -3.923347 -2.105066
2911 -81946.600764 -0.000109 -3.947367 -2.129086
658 -81946.620074 -0.000109 -3.966677 -2.148396
603 -81946.613849 -0.000109 -3.960452 -2.142171
576 -81946.609205 -0.000109 -3.955807 -2.137526
2967 -81946.163270 -0.000109 -3.509872 -1.691591
585 -81946.148025 -0.000109 -3.494627 -1.676346
632 -81946.127846 -0.000109 -3.474448 -1.656167
2912 -81946.198300 -0.000109 -3.544902 -1.726621
2881 -81946.000628 -0.000109 -3.347230 -1.528949
668 -81945.863765 -0.000109 -3.210367 -1.392086
605 -81945.961315 -0.000109 -3.307917 -1.489636
582 -81945.975637 -0.000109 -3.322239 -1.503958
2945 -81945.991787 -0.000109 -3.338390 -1.520109
2891 -81946.053826 -0.000109 -3.400428 -1.582147
624 -81946.571770 -0.000109 -3.918373 -2.100092
586 -81946.567664 -0.000109 -3.914267 -2.095986
2943 -81946.563171 -0.000109 -3.909774 -2.091493
2892 -81946.549721 -0.000109 -3.896324 -2.078043
2882 -81946.596008 -0.000109 -3.942610 -2.124329
2893 -81946.352873 -0.000109 -3.699475 -1.881194
669 -81946.389635 -0.000109 -3.736238 -1.917957
604 -81946.382585 -0.000109 -3.729188 -1.910907
580 -81946.379395 -0.000109 -3.725998 -1.907717
2935 -81946.373608 -0.000109 -3.720210 -1.901929
2884 -81946.117285 -0.000109 -3.463888 -1.645607
635 -81946.225200 -0.000109 -3.571803 -1.753522
588 -81946.232529 -0.000109 -3.579132 -1.760851
2968 -81946.238347 -0.000109 -3.584949 -1.766668
2915 -81946.254036 -0.000109 -3.600639 -1.782358
2934 -81945.925037 -0.000109 -3.271639 -1.453358
2890 -81945.931939 -0.000109 -3.278542 -1.460261
577 -81945.922907 -0.000109 -3.269509 -1.451228
602 -81945.920603 -0.000109 -3.267205 -1.448924
5275 -81945.916055 -0.000109 -3.262657 -1.444376
659 -81945.895078 -0.000109 -3.241681 -1.423400
606 -81945.881258 -0.000109 -3.227861 -1.409580
579 -81945.881184 -0.000109 -3.227786 -1.409505
2914 -81945.900282 -0.000109 -3.246885 -1.428604
2887 -81945.901542 -0.000109 -3.248144 -1.429863
636 -81945.965425 -0.000109 -3.312027 -1.493746
597 -81945.972216 -0.000109 -3.318818 -1.500537
2975 -81945.980134 -0.000109 -3.326737 -1.508456
2913 -81946.001191 -0.000109 -3.347793 -1.529512
