#ID      EIGB 	      EIPGB 	   GBbin        GBseg
188 -61509.729349 0.000000 -3.493385 -0.458501
1056 -61509.729349 0.000000 -3.493385 -0.458501
1893 -61509.729349 0.000000 -3.493385 -0.458501
9698 -61509.729349 0.000000 -3.493385 -0.458501
2757 -61509.729349 0.000000 -3.493385 -0.458501
219 -61509.815122 0.000000 -3.579159 -0.544275
1129 -61509.815122 0.000000 -3.579159 -0.544275
2027 -61509.815122 0.000000 -3.579159 -0.544275
2897 -61509.815122 0.000000 -3.579159 -0.544275
2829 -61509.815122 0.000000 -3.579159 -0.544275
234 -61509.995018 0.000000 -3.759055 -0.724170
1130 -61509.995018 0.000000 -3.759055 -0.724170
1999 -61509.995018 0.000000 -3.759055 -0.724170
2898 -61509.995018 0.000000 -3.759055 -0.724170
10682 -61509.995018 0.000000 -3.759055 -0.724170
6291 -61510.502688 0.000000 -4.266724 -1.231840
236 -61510.502688 0.000000 -4.266724 -1.231840
1108 -61510.502688 0.000000 -4.266724 -1.231840
2001 -61510.502688 0.000000 -4.266724 -1.231840
2922 -61510.502688 0.000000 -4.266724 -1.231840
306 -61510.057879 0.000000 -3.821916 -0.787031
276 -61510.057879 0.000000 -3.821916 -0.787031
1098 -61510.057879 0.000000 -3.821916 -0.787031
2026 -61510.057879 0.000000 -3.821916 -0.787031
2859 -61510.057879 0.000000 -3.821916 -0.787031
321 -61509.964085 0.000000 -3.728122 -0.693237
218 -61509.964085 0.000000 -3.728122 -0.693237
1131 -61509.964085 0.000000 -3.728122 -0.693237
1970 -61509.964085 0.000000 -3.728122 -0.693237
2899 -61509.964085 0.000000 -3.728122 -0.693237
303 -61509.635843 0.000000 -3.399879 -0.364995
1186 -61509.635843 0.000000 -3.399879 -0.364995
1095 -61509.635843 0.000000 -3.399879 -0.364995
1988 -61509.635843 0.000000 -3.399879 -0.364995
2857 -61509.635843 0.000000 -3.399879 -0.364995
264 -61509.751403 0.000000 -3.515439 -0.480555
229 -61509.751403 0.000000 -3.515439 -0.480555
1123 -61509.751403 0.000000 -3.515439 -0.480555
1987 -61509.751403 0.000000 -3.515439 -0.480555
2887 -61509.751403 0.000000 -3.515439 -0.480555
281 -61509.890667 0.000000 -3.654704 -0.619820
1143 -61509.890667 0.000000 -3.654704 -0.619820
2039 -61509.890667 0.000000 -3.654704 -0.619820
1953 -61509.890667 0.000000 -3.654704 -0.619820
2834 -61509.890667 0.000000 -3.654704 -0.619820
237 -61510.618512 0.000000 -4.382548 -1.347664
1172 -61510.618512 0.000000 -4.382548 -1.347664
2002 -61510.618512 0.000000 -4.382548 -1.347664
2921 -61510.618512 0.000000 -4.382548 -1.347664
2822 -61510.618512 0.000000 -4.382548 -1.347664
6301 -61510.599947 0.000000 -4.363983 -1.329099
279 -61510.599947 0.000000 -4.363983 -1.329099
1107 -61510.599947 0.000000 -4.363983 -1.329099
2036 -61510.599947 0.000000 -4.363983 -1.329099
9806 -61510.599947 0.000000 -4.363983 -1.329099
235 -61510.526167 0.000000 -4.290204 -1.255320
1134 -61510.526167 0.000000 -4.290204 -1.255320
2000 -61510.526167 0.000000 -4.290204 -1.255320
2902 -61510.526167 0.000000 -4.290204 -1.255320
2870 -61510.526167 0.000000 -4.290204 -1.255320
226 -61509.908931 0.000000 -3.672967 -0.638083
1145 -61509.908931 0.000000 -3.672967 -0.638083
2038 -61509.908931 0.000000 -3.672967 -0.638083
2911 -61509.908931 0.000000 -3.672967 -0.638083
2833 -61509.908931 0.000000 -3.672967 -0.638083
280 -61509.950816 0.000000 -3.714852 -0.679968
1110 -61509.950816 0.000000 -3.714852 -0.679968
2037 -61509.950816 0.000000 -3.714852 -0.679968
1973 -61509.950816 0.000000 -3.714852 -0.679968
2832 -61509.950816 0.000000 -3.714852 -0.679968
