#ID      EIFS 	      EIPFS 	   FSbin        FSseg
658 -268728.922332 0.000000 -6.147769 -3.103290
833 -268726.802284 0.000000 -4.027721 -0.983242
941 -268726.801935 0.000000 -4.027372 -0.982893
4550 -268726.801985 0.000000 -4.027422 -0.982943
4657 -268726.929142 0.000000 -4.154579 -1.110100
8219 -268727.224064 0.000000 -4.449501 -1.405022
8389 -268728.945761 0.000000 -6.171199 -3.126720
8509 -268728.945757 0.000000 -6.171194 -3.126715
12107 -268728.945831 0.000000 -6.171269 -3.126790
12274 -268728.924630 0.000000 -6.150067 -3.105588
724 -268729.030219 0.000000 -6.255657 -3.211177
890 -268729.029452 0.000000 -6.254889 -3.210410
4462 -268729.029500 0.000000 -6.254938 -3.210459
4632 -268729.029377 0.000000 -6.254815 -3.210336
4730 -268728.186103 0.000000 -5.411541 -2.367061
8352 -268726.967031 0.000000 -4.192468 -1.147989
8498 -268726.967760 0.000000 -4.193197 -1.148718
12066 -268726.967763 0.000000 -4.193200 -1.148721
12186 -268728.443076 0.000000 -5.668513 -2.624034
12295 -268728.436627 0.000000 -5.662064 -2.617585
789 -268727.000400 0.000000 -4.225837 -1.181358
914 -268727.021293 0.000000 -4.246730 -1.202251
30983 -268728.466016 0.000000 -5.691453 -2.646974
4496 -268728.465960 0.000000 -5.691397 -2.646918
4669 -268728.934065 0.000000 -6.159502 -3.115023
8241 -268729.049882 0.000000 -6.275319 -3.230840
8424 -268729.050025 0.000000 -6.275463 -3.230984
8512 -268729.050023 0.000000 -6.275460 -3.230981
12153 -268729.050002 0.000000 -6.275439 -3.230960
12289 -268727.798204 0.000000 -5.023641 -1.979162
657 -268728.155442 0.000000 -5.380879 -2.336400
865 -268728.236976 0.000000 -5.462413 -2.417934
940 -268728.236935 0.000000 -5.462372 -2.417893
4593 -268728.237100 0.000000 -5.462538 -2.418059
4705 -268728.227444 0.000000 -5.452882 -2.408403
8306 -268727.073773 0.000000 -4.299210 -1.254731
8458 -268727.402801 0.000000 -4.628239 -1.583759
38587 -268728.571767 0.000000 -5.797204 -2.752725
12015 -268728.571765 0.000000 -5.797203 -2.752723
12202 -268728.124648 0.000000 -5.350086 -2.305606
832 -268727.624595 0.000000 -4.850033 -1.805554
931 -268727.624033 0.000000 -4.849470 -1.804991
4461 -268727.454441 0.000000 -4.679878 -1.635399
4660 -268727.453741 0.000000 -4.679178 -1.634699
4729 -268729.042674 0.000000 -6.268111 -3.223632
8392 -268728.769146 0.000000 -5.994583 -2.950104
8497 -268728.769415 0.000000 -5.994853 -2.950373
12110 -268728.769379 0.000000 -5.994816 -2.950337
12250 -268728.753743 0.000000 -5.979180 -2.934701
12151 -268728.768365 0.000000 -5.993802 -2.949323
704 -268728.769204 0.000000 -5.994641 -2.950162
889 -268728.767127 0.000000 -5.992564 -2.948085
4419 -268728.767116 0.000000 -5.992553 -2.948074
4631 -268728.766795 0.000000 -5.992232 -2.947753
4724 -268727.291721 0.000000 -4.517159 -1.472680
8351 -268727.638353 0.000000 -4.863791 -1.819312
38760 -268727.482625 0.000000 -4.708062 -1.663583
11981 -268727.482612 0.000000 -4.708049 -1.663570
12189 -268727.482271 0.000000 -4.707708 -1.663229
12288 -268729.059317 0.000000 -6.284754 -3.240275
756 -268727.645163 0.000000 -4.870600 -1.826121
31195 -268727.549089 0.000000 -4.774526 -1.730047
899 -268727.548916 0.000000 -4.774354 -1.729875
4486 -268727.548875 0.000000 -4.774313 -1.729834
4668 -268727.544727 0.000000 -4.770164 -1.725685
8220 -268728.588860 0.000000 -5.814297 -2.769818
8423 -268728.695267 0.000000 -5.920705 -2.876225
8510 -268728.695279 0.000000 -5.920716 -2.876237
12152 -268728.695253 0.000000 -5.920690 -2.876211
12275 -268727.631442 0.000000 -4.856879 -1.812400
947 -268728.813532 0.000000 -6.038969 -2.994490
1172 -268728.056549 0.000000 -5.281987 -2.237508
31070 -268728.613862 0.000000 -5.839299 -2.794820
31326 -268727.905635 0.000000 -5.131072 -2.086593
831 -268728.814516 0.000000 -6.039954 -2.995475
1088 -268727.666581 0.000000 -4.892019 -1.847540
946 -268728.543564 0.000000 -5.769001 -2.724522
992 -268728.051527 0.000000 -5.276965 -2.232486
888 -268728.586823 0.000000 -5.812261 -2.767782
1068 -268727.906611 0.000000 -5.132048 -2.087569
943 -268728.813767 0.000000 -6.039205 -2.994726
972 -268727.665946 0.000000 -4.891384 -1.846905
948 -268728.543701 0.000000 -5.769138 -2.724659
