#ID      EIFS 	      EIPFS 	   FSbin        FSseg
127 -3556.864563 -0.000112 -4.300232 -2.465611
27 -3557.725172 -0.000112 -5.160841 -3.326219
130 -3558.187770 -0.000112 -5.623438 -3.788817
26 -3558.071794 -0.000112 -5.507463 -3.672842
133 -3557.302145 -0.000112 -4.737814 -2.903192
25 -3557.622355 -0.000112 -5.058024 -3.223402
135 -3557.306714 -0.000112 -4.742383 -2.907761
28 -3558.935754 -0.000112 -6.371423 -4.536802
132 -3557.280483 -0.000112 -4.716152 -2.881530
128 -3557.323045 -0.000112 -4.758714 -2.924092
131 -3557.292805 -0.000112 -4.728474 -2.893852
29 -3557.134300 -0.000112 -4.569969 -2.735347
