#ID      EIFS 	      EIPFS 	   FSbin        FSseg
5507 -122388.209355 0.000000 -3.115696 -0.083307
5613 -122388.208761 0.000000 -3.115102 -0.082713
2024 -122388.221562 0.000000 -3.127903 -0.095514
2004 -122388.221556 0.000000 -3.127897 -0.095507
2117 -122388.221561 0.000000 -3.127902 -0.095513
2087 -122388.221558 0.000000 -3.127899 -0.095510
3736 -122388.221560 0.000000 -3.127901 -0.095511
3857 -122388.221561 0.000000 -3.127902 -0.095513
3830 -122388.221555 0.000000 -3.127896 -0.095506
377 -122388.221641 0.000000 -3.127982 -0.095592
262 -122388.221475 0.000000 -3.127816 -0.095427
5482 -122388.221588 0.000000 -3.127929 -0.095540
281 -122388.221742 0.000000 -3.128083 -0.095694
5464 -122388.222135 0.000000 -3.128476 -0.096087
5577 -122388.222961 0.000000 -3.129302 -0.096912
376 -122388.362324 0.000000 -3.268665 -0.236276
2033 -122388.362276 0.000000 -3.268617 -0.236228
2003 -122388.362252 0.000000 -3.268593 -0.236204
2127 -122388.362260 0.000000 -3.268601 -0.236212
2048 -122388.362261 0.000000 -3.268602 -0.236212
3746 -122388.362260 0.000000 -3.268601 -0.236212
3856 -122388.362263 0.000000 -3.268604 -0.236215
3835 -122388.362261 0.000000 -3.268602 -0.236212
14277 -122388.361852 0.000000 -3.268193 -0.235804
280 -122388.362400 0.000000 -3.268741 -0.236352
5481 -122388.362299 0.000000 -3.268640 -0.236250
5576 -122388.220026 0.000000 -3.126367 -0.093978
5602 -122388.362253 0.000000 -3.268594 -0.236205
327 -122388.687214 0.000000 -3.593555 -0.561166
1983 -122388.687272 0.000000 -3.593613 -0.561224
2103 -122388.687252 0.000000 -3.593593 -0.561204
2072 -122388.687250 0.000000 -3.593591 -0.561202
2167 -122388.687252 0.000000 -3.593593 -0.561204
3712 -122388.687251 0.000000 -3.593592 -0.561203
3816 -122388.687253 0.000000 -3.593594 -0.561205
355 -122388.687170 0.000000 -3.593511 -0.561121
3900 -122388.687255 0.000000 -3.593596 -0.561207
248 -122388.684782 0.000000 -3.591123 -0.558733
5522 -122388.362988 0.000000 -3.269329 -0.236940
5455 -122388.687253 0.000000 -3.593594 -0.561205
5555 -122388.687261 0.000000 -3.593602 -0.561213
5565 -122388.804108 0.000000 -3.710449 -0.678059
5638 -122388.803346 0.000000 -3.709687 -0.677297
365 -122388.803693 0.000000 -3.710034 -0.677645
14311 -122388.803784 0.000000 -3.710125 -0.677736
1992 -122388.803869 0.000000 -3.710210 -0.677820
2102 -122388.803871 0.000000 -3.710212 -0.677823
2082 -122388.803858 0.000000 -3.710199 -0.677810
3723 -122388.803862 0.000000 -3.710203 -0.677814
3846 -122388.803864 0.000000 -3.710205 -0.677816
3815 -122388.803864 0.000000 -3.710205 -0.677815
3903 -122388.803870 0.000000 -3.710211 -0.677822
5454 -122388.803831 0.000000 -3.710172 -0.677783
247 -122388.789260 0.000000 -3.695601 -0.663212
5510 -122388.836605 0.000000 -3.742946 -0.710557
5541 -122388.835787 0.000000 -3.742128 -0.709739
5625 -122388.834013 0.000000 -3.740354 -0.707964
309 -122388.836426 0.000000 -3.742767 -0.710378
420 -122388.835802 0.000000 -3.742143 -0.709753
1970 -122388.835769 0.000000 -3.742110 -0.709721
2058 -122388.835801 0.000000 -3.742142 -0.709752
2153 -122388.835800 0.000000 -3.742141 -0.709752
3702 -122388.835795 0.000000 -3.742136 -0.709747
3795 -122388.835798 0.000000 -3.742139 -0.709750
3766 -122388.835794 0.000000 -3.742135 -0.709746
3883 -122388.835811 0.000000 -3.742152 -0.709763
232 -122388.807588 0.000000 -3.713929 -0.681540
341 -122388.867556 0.000000 -3.773897 -0.741507
318 -122388.867430 0.000000 -3.773771 -0.741382
419 -122388.867592 0.000000 -3.773933 -0.741544
15973 -122388.867494 0.000000 -3.773835 -0.741446
2057 -122388.867505 0.000000 -3.773846 -0.741457
2162 -122388.867511 0.000000 -3.773852 -0.741463
3701 -122388.867507 0.000000 -3.773848 -0.741459
3804 -122388.867510 0.000000 -3.773851 -0.741462
3889 -122388.867511 0.000000 -3.773852 -0.741463
3884 -122388.867530 0.000000 -3.773871 -0.741482
5540 -122388.867507 0.000000 -3.773848 -0.741459
5624 -122388.834568 0.000000 -3.740909 -0.708519
5517 -122388.868560 0.000000 -3.774901 -0.742511
2036 -122389.266016 0.000000 -4.172357 -1.139967
2014 -122389.265995 0.000000 -4.172336 -1.139947
2130 -122389.266000 0.000000 -4.172341 -1.139952
3780 -122389.266003 0.000000 -4.172344 -1.139955
3749 -122389.266001 0.000000 -4.172342 -1.139952
3870 -122389.266002 0.000000 -4.172343 -1.139954
388 -122389.266027 0.000000 -4.172368 -1.139979
269 -122389.265734 0.000000 -4.172075 -1.139686
294 -122389.265872 0.000000 -4.172213 -1.139824
5429 -122389.266005 0.000000 -4.172346 -1.139957
5495 -122389.266019 0.000000 -4.172360 -1.139970
5585 -122388.867482 0.000000 -3.773823 -0.741434
5605 -122389.265928 0.000000 -4.172269 -1.139880
5584 -122389.266362 0.000000 -4.172703 -1.140314
293 -122388.605846 0.000000 -3.512187 -0.479798
5616 -122388.760449 0.000000 -3.666790 -0.634401
409 -122388.606621 0.000000 -3.512962 -0.480573
387 -122388.606559 0.000000 -3.512900 -0.480510
2047 -122388.606652 0.000000 -3.512993 -0.480603
16024 -122388.606663 0.000000 -3.513004 -0.480615
2138 -122388.606667 0.000000 -3.513008 -0.480619
3779 -122388.606667 0.000000 -3.513008 -0.480619
3760 -122388.606673 0.000000 -3.513014 -0.480624
3869 -122388.606696 0.000000 -3.513037 -0.480648
5531 -122388.606098 0.000000 -3.512439 -0.480050
7223 -122388.730817 0.000000 -3.637158 -0.604769
379 -122388.717423 0.000000 -3.623764 -0.591375
391 -122388.717108 0.000000 -3.623449 -0.591060
427 -122388.941729 0.000000 -3.848070 -0.815681
2006 -122388.717131 0.000000 -3.623472 -0.591083
1976 -122388.941599 0.000000 -3.847940 -0.815550
2115 -122388.717128 0.000000 -3.623469 -0.591079
2071 -122388.941602 0.000000 -3.847943 -0.815554
15897 -122388.717123 0.000000 -3.623464 -0.591075
2165 -122388.941601 0.000000 -3.847942 -0.815553
3734 -122388.717128 0.000000 -3.623469 -0.591080
3711 -122388.941600 0.000000 -3.847941 -0.815552
3859 -122388.717140 0.000000 -3.623481 -0.591092
3807 -122388.941598 0.000000 -3.847939 -0.815550
3828 -122388.717175 0.000000 -3.623516 -0.591127
3899 -122388.941673 0.000000 -3.848014 -0.815625
5484 -122388.716633 0.000000 -3.622974 -0.590585
5579 -122388.835291 0.000000 -3.741632 -0.709243
5498 -122388.379944 0.000000 -3.286285 -0.253896
260 -122388.715233 0.000000 -3.621574 -0.589185
354 -122388.940859 0.000000 -3.847200 -0.814810
321 -122388.941684 0.000000 -3.848025 -0.815636
5446 -122388.940816 0.000000 -3.847157 -0.814768
5494 -122388.759026 0.000000 -3.665367 -0.632977
5554 -122388.941131 0.000000 -3.847472 -0.815083
5568 -122388.677780 0.000000 -3.584121 -0.551732
5592 -122388.818396 0.000000 -3.724737 -0.692348
3848 -122388.379488 0.000000 -3.285829 -0.253439
3829 -122388.379554 0.000000 -3.285895 -0.253506
5473 -122388.380304 0.000000 -3.286645 -0.254255
5618 -122389.409675 0.000000 -4.316016 -1.283627
368 -122388.379834 0.000000 -3.286175 -0.253785
332 -122388.379450 0.000000 -3.285791 -0.253402
1995 -122388.379488 0.000000 -3.285829 -0.253439
2116 -122388.379485 0.000000 -3.285826 -0.253437
2085 -122388.379480 0.000000 -3.285821 -0.253431
3735 -122388.379489 0.000000 -3.285830 -0.253441
5463 -122388.674125 0.000000 -3.580466 -0.548077
5509 -122389.406908 0.000000 -4.313249 -1.280859
7179 -122388.973542 0.000000 -3.879883 -0.847494
261 -122388.378424 0.000000 -3.284765 -0.252376
5519 -122389.002276 0.000000 -3.908617 -0.876228
343 -122389.283217 0.000000 -4.189558 -1.157168
307 -122389.284154 0.000000 -4.190495 -1.158106
422 -122389.283943 0.000000 -4.190284 -1.157895
1968 -122389.283684 0.000000 -4.190025 -1.157636
2060 -122389.283690 0.000000 -4.190030 -1.157641
2152 -122389.283687 0.000000 -4.190028 -1.157639
2141 -122389.283678 0.000000 -4.190019 -1.157630
3793 -122389.283683 0.000000 -4.190024 -1.157635
3890 -122389.283704 0.000000 -4.190045 -1.157656
3881 -122389.283773 0.000000 -4.190113 -1.157724
5543 -122389.283125 0.000000 -4.189466 -1.157077
229 -122389.276234 0.000000 -4.182575 -1.150186
5532 -122388.980006 0.000000 -3.886347 -0.853958
308 -122388.982516 0.000000 -3.888857 -0.856468
411 -122388.980456 0.000000 -3.886797 -0.854408
1969 -122388.980719 0.000000 -3.887060 -0.854671
2049 -122388.980707 0.000000 -3.887048 -0.854659
2020 -122388.980680 0.000000 -3.887020 -0.854631
2140 -122388.980682 0.000000 -3.887023 -0.854634
3794 -122388.980695 0.000000 -3.887036 -0.854647
3762 -122388.980700 0.000000 -3.887041 -0.854652
3882 -122388.980759 0.000000 -3.887100 -0.854711
5553 -122389.183302 0.000000 -4.089643 -1.057254
353 -122389.161191 0.000000 -4.067532 -1.035143
3839 -122389.161325 0.000000 -4.067666 -1.035277
3818 -122389.161283 0.000000 -4.067624 -1.035235
3898 -122389.161148 0.000000 -4.067489 -1.035100
5457 -122389.160448 0.000000 -4.066789 -1.034400
5640 -122389.181498 0.000000 -4.087839 -1.055450
329 -122389.161133 0.000000 -4.067474 -1.035085
426 -122389.161250 0.000000 -4.067591 -1.035202
2105 -122389.161302 0.000000 -4.067643 -1.035254
2070 -122389.161305 0.000000 -4.067646 -1.035257
