#ID      EIGB 	      EIPGB 	   GBbin        GBseg
1979 -115970.026429 0.000000 -3.817544 -0.702475
5241 -115970.026429 0.000000 -3.817544 -0.702475
266 -115970.064672 0.000000 -3.855787 -0.740718
3524 -115970.064672 0.000000 -3.855787 -0.740718
407 -115970.049197 0.000000 -3.840312 -0.725243
3669 -115970.049197 0.000000 -3.840312 -0.725243
1978 -115970.461389 0.000000 -4.252504 -1.137435
5244 -115970.461389 0.000000 -4.252504 -1.137435
305 -115970.467934 0.000000 -4.259049 -1.143981
3567 -115970.467934 0.000000 -4.259049 -1.143981
406 -115970.471045 0.000000 -4.262160 -1.147091
3569 -115970.471045 0.000000 -4.262160 -1.147091
2021 -115970.100118 0.000000 -3.891233 -0.776164
5283 -115970.100118 0.000000 -3.891233 -0.776164
308 -115970.046794 0.000000 -3.837908 -0.722840
3566 -115970.046794 0.000000 -3.837908 -0.722840
1899 -115969.972976 0.000000 -3.764091 -0.649022
5161 -115969.972976 0.000000 -3.764091 -0.649022
306 -115970.573629 0.000000 -4.364744 -1.249676
3570 -115970.573629 0.000000 -4.364744 -1.249676
264 -115970.555334 0.000000 -4.346449 -1.231381
1981 -115970.534446 0.000000 -4.325561 -1.210492
3528 -115970.555334 0.000000 -4.346449 -1.231381
5243 -115970.534446 0.000000 -4.325561 -1.210492
2020 -115969.783450 0.000000 -3.574565 -0.459497
5285 -115969.783450 0.000000 -3.574565 -0.459497
347 -115969.729024 0.000000 -3.520139 -0.405071
3609 -115969.729024 0.000000 -3.520139 -0.405071
551 -115970.460711 0.000000 -4.251826 -1.136757
2164 -115970.453878 0.000000 -4.244993 -1.129924
3712 -115970.460711 0.000000 -4.251826 -1.136757
5324 -115970.453878 0.000000 -4.244993 -1.129924
510 -115970.462160 0.000000 -4.253275 -1.138207
3670 -115970.462160 0.000000 -4.253275 -1.138207
408 -115970.037869 0.000000 -3.828983 -0.713915
3773 -115970.037869 0.000000 -3.828983 -0.713915
469 -115970.054557 0.000000 -3.845672 -0.730603
3834 -115970.054557 0.000000 -3.845672 -0.730603
2063 -115970.018765 0.000000 -3.809880 -0.694811
5426 -115970.018765 0.000000 -3.809880 -0.694811
2206 -115969.887939 0.000000 -3.679054 -0.563986
5366 -115969.887939 0.000000 -3.679054 -0.563986
430 -115969.928728 0.000000 -3.719843 -0.604775
3794 -115969.928728 0.000000 -3.719843 -0.604775
2045 -115969.950791 0.000000 -3.741906 -0.626837
5409 -115969.950791 0.000000 -3.741906 -0.626837
2104 -115970.221637 0.000000 -4.012752 -0.897683
5467 -115970.221637 0.000000 -4.012752 -0.897683
552 -115970.252933 0.000000 -4.044048 -0.928980
3711 -115970.252933 0.000000 -4.044048 -0.928980
2148 -115970.254440 0.000000 -4.045555 -0.930486
5309 -115970.254440 0.000000 -4.045555 -0.930486
11910 -115969.963068 0.000000 -3.754183 -0.639115
2226 -115969.963068 0.000000 -3.754183 -0.639115
450 -115969.963456 0.000000 -3.754571 -0.639502
3814 -115969.963456 0.000000 -3.754571 -0.639502
2062 -115969.942610 0.000000 -3.733725 -0.618656
5427 -115969.942610 0.000000 -3.733725 -0.618656
