#ID      EIFS 	      EIPFS 	   FSbin        FSseg
88 -32920.424016 0.000000 -3.675936 -0.640788
556 -32920.484874 0.000000 -3.736793 -0.701645
1040 -32920.490809 0.000000 -3.742729 -0.707581
1033 -32920.484920 0.000000 -3.736839 -0.701691
1517 -32920.490625 0.000000 -3.742545 -0.707396
91 -32920.425858 0.000000 -3.677778 -0.642629
115 -32920.425251 0.000000 -3.677170 -0.642022
555 -32920.465238 0.000000 -3.717158 -0.682009
1032 -32920.425381 0.000000 -3.677301 -0.642152
1520 -32920.465082 0.000000 -3.717002 -0.681853
114 -32920.466354 0.000000 -3.718274 -0.683126
563 -32920.467933 0.000000 -3.719853 -0.684704
1026 -32920.466634 0.000000 -3.718554 -0.683405
1512 -32920.398247 0.000000 -3.650167 -0.615018
1505 -32920.466542 0.000000 -3.718461 -0.683313
113 -32920.389617 0.000000 -3.641537 -0.606389
566 -32920.382660 0.000000 -3.634580 -0.599432
1025 -32920.389201 0.000000 -3.641121 -0.605972
1031 -32920.593544 0.000000 -3.845463 -0.810315
1504 -32920.388585 0.000000 -3.640505 -0.605356
125 -32920.582936 0.000000 -3.834856 -0.799707
626 -32920.600695 0.000000 -3.852615 -0.817466
587 -32920.582440 0.000000 -3.834359 -0.799211
1089 -32920.600662 0.000000 -3.852582 -0.817433
1528 -32920.582346 0.000000 -3.834266 -0.799117
119 -32920.665988 0.000000 -3.917907 -0.882759
586 -32920.623174 0.000000 -3.875094 -0.839945
1053 -32920.665917 0.000000 -3.917837 -0.882689
1521 -32920.623141 0.000000 -3.875061 -0.839913
1988 -32920.623731 0.000000 -3.875651 -0.840502
139 -32920.693961 0.000000 -3.945880 -0.910732
610 -32920.761235 0.000000 -4.013155 -0.978007
596 -32920.693742 0.000000 -3.945662 -0.910514
1065 -32920.761197 0.000000 -4.013117 -0.977968
5263 -32920.693258 0.000000 -3.945178 -0.910029
140 -32920.774320 0.000000 -4.026240 -0.991092
120 -32920.783789 0.000000 -4.035709 -1.000560
597 -32920.773913 0.000000 -4.025833 -0.990684
1062 -32920.783738 0.000000 -4.035658 -1.000509
1554 -32920.773651 0.000000 -4.025571 -0.990422
3399 -32920.820455 0.000000 -4.072375 -1.037226
3866 -32921.141326 0.000000 -4.393246 -1.358097
600 -32920.819157 0.000000 -4.071077 -1.035929
1072 -32920.818438 0.000000 -4.070358 -1.035210
1560 -32920.818998 0.000000 -4.070918 -1.035770
159 -32921.542765 0.000000 -4.794685 -1.759537
601 -32921.141562 0.000000 -4.393482 -1.358333
1070 -32921.141877 0.000000 -4.393797 -1.358648
1061 -32921.141481 0.000000 -4.393400 -1.358252
1526 -32921.141634 0.000000 -4.393553 -1.358405
162 -32921.547210 0.000000 -4.799130 -1.763981
121 -32921.555052 0.000000 -4.806972 -1.771823
4328 -32921.547283 0.000000 -4.799202 -1.764054
1063 -32921.555069 0.000000 -4.806988 -1.771840
1535 -32921.578927 0.000000 -4.830847 -1.795698
3395 -32921.581013 0.000000 -4.832933 -1.797785
