#ID      EIFS 	      EIPFS 	   FSbin        FSseg
441 -25277.398014 -0.000108 -4.660336 -2.841148
807 -25277.398296 -0.000108 -4.660618 -2.841431
86 -25277.394463 -0.000108 -4.656785 -2.837598
800 -25277.393506 -0.000108 -4.655828 -2.836640
1164 -25277.402762 -0.000108 -4.665084 -2.845896
438 -25277.420427 -0.000108 -4.682749 -2.863562
806 -25277.421016 -0.000108 -4.683338 -2.864151
88 -25277.431602 -0.000108 -4.693924 -2.874737
449 -25277.494482 -0.000108 -4.756804 -2.937617
1162 -25277.491834 -0.000108 -4.754156 -2.934969
437 -25277.491581 -0.000108 -4.753903 -2.934716
79 -25277.908927 -0.000108 -5.171249 -3.352062
803 -25277.491653 -0.000108 -4.753975 -2.934788
448 -25278.278179 -0.000108 -5.540501 -3.721314
1161 -25278.277857 -0.000108 -5.540179 -3.720991
455 -25278.790769 -0.000108 -6.053091 -4.233903
808 -25278.792953 -0.000108 -6.055275 -4.236087
823 -25278.817250 -0.000108 -6.079572 -4.260385
1166 -25278.608572 -0.000108 -5.870894 -4.051707
94 -25278.816943 -0.000108 -6.079265 -4.260078
451 -25278.176055 -0.000108 -5.438377 -3.619189
1172 -25278.200334 -0.000108 -5.462656 -3.643469
812 -25278.192173 -0.000108 -5.454495 -3.635308
465 -25278.192179 -0.000108 -5.454501 -3.635314
97 -25278.175533 -0.000108 -5.437855 -3.618668
99 -25278.907401 -0.000108 -6.169723 -4.350536
456 -25278.926697 -0.000108 -6.189019 -4.369832
450 -25278.911031 -0.000108 -6.173353 -4.354166
809 -25278.929040 -0.000108 -6.191362 -4.372174
1167 -25279.509171 -0.000108 -6.771493 -4.952306
91 -25277.237696 -0.000108 -4.500018 -2.680831
111 -25277.494019 -0.000108 -4.756341 -2.937154
819 -25280.144881 -0.000108 -7.407203 -5.588016
457 -25278.960107 -0.000108 -6.222429 -4.403242
814 -25277.237687 -0.000108 -4.500009 -2.680821
1168 -25278.531549 -0.000108 -5.793871 -3.974684
92 -25279.602078 -0.000108 -6.864400 -5.045213
1176 -25278.970399 -0.000108 -6.232721 -4.413534
1177 -25277.084388 -0.000108 -4.346710 -2.527523
453 -25279.524259 -0.000108 -6.786581 -4.967394
813 -25277.035671 -0.000108 -4.297993 -2.478806
101 -25276.907032 -0.000108 -4.169354 -2.350167
470 -25277.034936 -0.000108 -4.297258 -2.478070
102 -25276.006393 -0.000108 -3.268715 -1.449527
1170 -25275.942708 -0.000108 -3.205030 -1.385843
824 -25276.005865 -0.000108 -3.268187 -1.449000
459 -25276.014234 -0.000108 -3.276556 -1.457368
810 -25276.014925 -0.000108 -3.277247 -1.458060
