#ID      EIGB 	      EIPGB 	   GBbin        GBseg
1464 -575688.505376 0.000000 -3.362055 -0.327231
1785 -575688.505376 0.000000 -3.362055 -0.327231
9369 -575688.505376 0.000000 -3.362055 -0.327231
9690 -575688.505376 0.000000 -3.362055 -0.327231
10129 -575688.505376 0.000000 -3.362055 -0.327231
17570 -575688.505376 0.000000 -3.362055 -0.327231
18059 -575688.505376 0.000000 -3.362056 -0.327231
25475 -575688.505376 0.000000 -3.362056 -0.327231
25964 -575688.505376 0.000000 -3.362055 -0.327231
26262 -575688.505376 0.000000 -3.362055 -0.327231
66385 -575688.991310 0.000000 -3.847990 -0.813165
1907 -575688.991310 0.000000 -3.847990 -0.813165
74290 -575688.991310 0.000000 -3.847990 -0.813165
9812 -575688.991310 0.000000 -3.847990 -0.813165
82170 -575688.991310 0.000000 -3.847990 -0.813165
17692 -575688.991310 0.000000 -3.847990 -0.813165
82940 -575688.991310 0.000000 -3.847990 -0.813165
25597 -575688.991310 0.000000 -3.847990 -0.813165
90885 -575688.991310 0.000000 -3.847990 -0.813165
33479 -575688.991310 0.000000 -3.847989 -0.813165
1503 -575688.368733 0.000000 -3.225412 -0.190588
1784 -575688.368733 0.000000 -3.225412 -0.190588
9408 -575688.368733 0.000000 -3.225412 -0.190588
9689 -575688.368733 0.000000 -3.225412 -0.190588
9409 -575688.368733 0.000000 -3.225412 -0.190588
17569 -575688.368733 0.000000 -3.225412 -0.190588
18098 -575688.368733 0.000000 -3.225412 -0.190588
25474 -575688.368733 0.000000 -3.225412 -0.190588
26003 -575688.368733 0.000000 -3.225412 -0.190588
26261 -575688.368733 0.000000 -3.225412 -0.190587
1382 -575688.279055 0.000000 -3.135734 -0.100910
1908 -575688.279055 0.000000 -3.135734 -0.100910
9287 -575688.279055 0.000000 -3.135734 -0.100910
9813 -575688.279055 0.000000 -3.135734 -0.100910
10075 -575688.279055 0.000000 -3.135734 -0.100910
17693 -575688.279055 0.000000 -3.135734 -0.100910
17977 -575688.279055 0.000000 -3.135734 -0.100910
25598 -575688.279055 0.000000 -3.135734 -0.100910
25882 -575688.279055 0.000000 -3.135734 -0.100910
26004 -575688.279055 0.000000 -3.135734 -0.100910
1057 -575689.441326 0.000000 -4.298005 -1.263181
1505 -575689.441326 0.000000 -4.298005 -1.263181
1807 -575689.441326 0.000000 -4.298005 -1.263181
9410 -575689.441326 0.000000 -4.298005 -1.263181
9712 -575689.441326 0.000000 -4.298005 -1.263181
17290 -575689.441326 0.000000 -4.298005 -1.263181
17592 -575689.441326 0.000000 -4.298005 -1.263181
18100 -575689.441326 0.000000 -4.298005 -1.263181
25497 -575689.441326 0.000000 -4.298005 -1.263181
26005 -575689.441326 0.000000 -4.298005 -1.263181
1220 -575689.241207 0.000000 -4.097886 -1.063061
1544 -575689.241207 0.000000 -4.097886 -1.063061
1990 -575689.241207 0.000000 -4.097886 -1.063061
9449 -575689.241207 0.000000 -4.097886 -1.063061
9935 -575689.241207 0.000000 -4.097886 -1.063061
17329 -575689.241207 0.000000 -4.097886 -1.063061
17815 -575689.241207 0.000000 -4.097886 -1.063061
18139 -575689.241207 0.000000 -4.097886 -1.063061
25720 -575689.241207 0.000000 -4.097886 -1.063061
26044 -575689.241207 0.000000 -4.097886 -1.063061
1139 -575689.359125 0.000000 -4.215804 -1.180979
1402 -575689.359125 0.000000 -4.215804 -1.180979
1949 -575689.359125 0.000000 -4.215804 -1.180979
9307 -575689.359125 0.000000 -4.215804 -1.180979
9854 -575689.359125 0.000000 -4.215804 -1.180979
17247 -575689.359125 0.000000 -4.215804 -1.180979
17734 -575689.359125 0.000000 -4.215804 -1.180979
17997 -575689.359125 0.000000 -4.215804 -1.180979
25639 -575689.359125 0.000000 -4.215804 -1.180979
25902 -575689.359125 0.000000 -4.215804 -1.180979
1138 -575689.177414 0.000000 -4.034093 -0.999269
66019 -575688.926580 0.000000 -3.783259 -0.748434
1664 -575689.177414 0.000000 -4.034093 -0.999269
1545 -575688.926580 0.000000 -3.783259 -0.748434
