#ID      EIGB 	      EIPGB 	   GBbin        GBseg
1194 -381780.139198 0.000000 -3.591085 -0.556165
1312 -381780.139198 0.000000 -3.591085 -0.556165
6409 -381780.139198 0.000000 -3.591085 -0.556165
6595 -381780.139198 0.000000 -3.591085 -0.556165
6705 -381780.139198 0.000000 -3.591085 -0.556166
11816 -381780.139198 0.000000 -3.591085 -0.556166
12082 -381780.139198 0.000000 -3.591085 -0.556165
17233 -381780.139198 0.000000 -3.591085 -0.556165
17415 -381780.139198 0.000000 -3.591085 -0.556166
17462 -381780.139198 0.000000 -3.591085 -0.556165
893 -381779.975104 0.000000 -3.426992 -0.392072
1091 -381779.975104 0.000000 -3.426992 -0.392072
1344 -381779.975104 0.000000 -3.426992 -0.392072
6530 -381779.975104 0.000000 -3.426992 -0.392072
6688 -381779.975104 0.000000 -3.426992 -0.392072
11733 -381779.975104 0.000000 -3.426992 -0.392072
11968 -381779.975104 0.000000 -3.426992 -0.392072
12069 -381779.975104 0.000000 -3.426992 -0.392072
17194 -381779.975104 0.000000 -3.426992 -0.392072
17365 -381779.975104 0.000000 -3.426992 -0.392072
1155 -381779.996929 0.000000 -3.448817 -0.413897
1315 -381779.996929 0.000000 -3.448817 -0.413897
6363 -381779.996929 0.000000 -3.448817 -0.413897
6598 -381779.996929 0.000000 -3.448817 -0.413897
6698 -381779.996929 0.000000 -3.448817 -0.413897
11819 -381779.996929 0.000000 -3.448817 -0.413897
11990 -381779.996929 0.000000 -3.448817 -0.413897
17234 -381779.996929 0.000000 -3.448817 -0.413897
17388 -381779.996929 0.000000 -3.448817 -0.413897
17342 -381779.996929 0.000000 -3.448817 -0.413897
1090 -381780.083449 0.000000 -3.535337 -0.500417
1250 -381780.083449 0.000000 -3.535337 -0.500417
6529 -381780.083449 0.000000 -3.535337 -0.500417
6670 -381780.083449 0.000000 -3.535337 -0.500417
6267 -381780.083449 0.000000 -3.535337 -0.500417
11938 -381780.083449 0.000000 -3.535337 -0.500417
12068 -381780.083449 0.000000 -3.535337 -0.500417
17154 -381780.083449 0.000000 -3.535337 -0.500417
17364 -381780.083449 0.000000 -3.535337 -0.500417
17448 -381780.083449 0.000000 -3.535337 -0.500417
1158 -381779.968711 0.000000 -3.420599 -0.385679
1292 -381779.968711 0.000000 -3.420599 -0.385679
1073 -381779.968711 0.000000 -3.420599 -0.385679
6565 -381779.968711 0.000000 -3.420599 -0.385679
6701 -381779.968711 0.000000 -3.420599 -0.385679
11776 -381779.968711 0.000000 -3.420599 -0.385679
11993 -381779.968711 0.000000 -3.420599 -0.385679
12071 -381779.968711 0.000000 -3.420599 -0.385679
17389 -381779.968711 0.000000 -3.420599 -0.385679
17456 -381779.968711 0.000000 -3.420599 -0.385679
